26223946
/m/0b76wf5
/m/0b76wf5
Elizabeth Bowen
1948
{"/m/05hgj": "Novel"}
a 15
about 3
accept 1
accepting 1
accompanying 1
accusations 1
accuses 1
actions 1
adulteress 1
affairs 2
after 3
again 2
ago 1
air 1
allied 1
allows 1
although 1
ambiguous 1
an 9
and 30
angry 1
another 1
anyone 3
are 1
army 1
as 5
ask 1
asks 1
assumed 1
at 10
attends 1
attracted 1
authoritarian 1
back 4
be 2
because 1
become 1
becomes 1
been 1
before 2
begins 1
behavior 1
being 1
believes 2
between 1
birth 1
bombing 1
both 1
britain 1
but 2
buy 1
by 1
call 1
calls 1
can 2
car 1
care 3
change 1
child 1
children 1
clearly 1
coded 1
collection 1
combat 1
comes 1
concert 1
confesses 1
confession 1
confirms 1
confront 1
connie 5
conversation 2
coping 1
coroner 1
could 1
couple 1
course 2
cousin 5
days 1
dead 1
decides 1
decision 1
dene 3
describe 1
dies 2
dinner 2
directly 1
discuss 1
divorce 2
does 1
done 1
doubt 1
dropping 1
during 2
effort 1
elderly 1
else 1
emasculated 1
encounter 1
entertain 1
ernestine 4
estate 1
even 1
evening 1
eventually 1
ever 3
everyone 1
everything 2
exactly 1
exchange 1
excuse 3
expounds 1
extramarital 1
fact 1
factory 1
family 4
fanatics 1
fascist 1
fatale 1
father 3
feels 1
feigned 1
femme 1
few 1
finally 1
first 4
flat 1
for 10
francis 4
friends 1
from 3
front 1
fulfilled 1
funeral 2
germans 1
gets 1
give 1
gives 2
go 1
goes 5
guilty 2
happens 1
harboring 1
harrison 18
has 5
hasnt 1
hates 1
have 1
he 15
her 26
here 1
heroic 1
herself 1
hidden 1
him 4
his 23
history 1
holme 3
hometown 1
house 4
how 1
hurt 1
husband 1
idea 1
if 4
impression 1
in 20
indeed 1
influence 1
inherit 1
inherited 1
inheriting 1
insanemad 1
insanity 1
insinuations 1
insists 2
intent 1
interest 1
interfering 1
ireland 2
irish 1
is 26
it 3
jumps 1
just 3
justify 1
kelway 2
know 2
knowing 1
language 1
later 2
lawyer 1
leads 1
leave 5
leaves 4
leaving 1
left 2
lewis 1
life 1
like 1
lodge 2
london 6
looking 1
louie 13
lover 2
loves 1
mad 1
made 1
main 1
make 1
makes 1
managerial 1
many 1
marred 1
marriage 1
meanwhile 1
meet 2
meeting 2
meets 1
memories 1
met 1
mistakenly 1
months 1
morris 5
mother 3
mount 4
mrs 1
name 1
narration 3
narrative 2
nettie 4
neutral 1
never 2
new 1
newspaper 1
next 1
night 1
no 2
not 2
novel 1
nurse 1
obvious 1
of 17
off 1
offer 4
offers 1
office 1
on 7
one 1
opens 1
or 1
order 1
other 2
out 2
outdoor 1
outside 1
overview 1
papers 1
parents 1
park 1
people 1
permission 1
photographs 1
pick 1
plot 1
points 1
politics 1
possibilities 1
possibility 1
predictions 1
pregnant 1
present 1
pretending 1
prompts 1
proposes 1
proposing 1
raise 1
reach 1
reads 3
real 1
really 2
received 1
receives 1
recount 1
recounts 1
refuse 1
regent 1
reiterates 1
rejects 1
relationship 6
reluctantly 1
rented 1
report 2
request 1
resolution 1
restaurant 2
retires 1
return 2
returning 1
returns 1
reunion 1
revealed 1
reveals 2
revelation 1
robert 26
roderick 10
romance 1
roof 1
room 1
rudely 1
ruminating 1
safety 1
says 1
scene 1
sealeonsea 1
seeking 1
selfidentity 1
services 1
sexually 1
share 1
she 16
should 1
show 1
shows 1
sister 2
so 1
son 4
soon 1
special 1
spy 4
start 1
station 1
stay 1
stella 26
still 1
story 1
stunned 1
subsequent 1
such 2
suspicions 1
suspicious 1
sweeping 1
take 1
takes 1
talk 1
tells 3
tense 1
that 15
the 41
their 8
them 1
then 2
there 1
they 5
this 1
thomas 1
though 1
thoughts 1
throughout 2
time 1
to 43
together 1
told 1
tom 1
train 2
training 1
treachery 1
tries 2
troubled 1
true 1
two 3
unknown 1
up 2
using 1
via 1
victor 2
visit 6
visiting 1
visits 3
waiting 1
war 1
warden 1
wards 1
was 3
watched 1
were 1
which 6
while 4
who 2
wife 2
will 1
wisteria 2
with 12
without 3
worker 1
would 1
wrong 1
years 3
