9839293
/m/02ptl3g
/m/02ptl3g
Pat Murphy
1986
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
abandoned 1
about 2
adult 1
after 1
allows 1
an 2
ancient 1
and 7
archaeological 1
archaeologist 1
arrives 1
artifacts 1
as 4
at 3
attempt 1
author 1
bad 1
be 1
books 1
brief 1
but 1
butler 1
by 2
can 1
challenge 1
chebel 1
child 1
civilization 1
clear 1
colleagues 1
connect 1
connected 1
daughter 2
dawn 1
death 1
demands 1
departure 1
diane 4
dig 1
dramatic 1
dusk 1
dzibilchaltn 2
eightweek 1
elizabeth 12
estranged 1
exhusband 1
experience 1
father 2
few 1
field 3
find 2
flew 1
for 2
from 2
funding 1
future 1
gift 1
goddess 1
has 3
haunted 1
her 11
hopes 1
ideas 1
in 3
increased 1
interest 1
is 2
it 2
ix 1
knowledge 1
leads 1
left 1
life 1
luck 1
major 1
makes 1
mayan 2
mayans 1
mexico 1
middle 2
mother 1
must 1
named 1
needs 1
neither 1
new 1
of 6
one 1
only 1
opens 1
people 1
popular 1
priestess 1
progresses 1
provides 1
raised 1
revealed 1
sacrifice 2
see 3
seen 1
several 1
she 1
since 1
site 1
spark 1
speak 1
spirit 1
spirits 1
states 1
story 1
strange 1
struggle 1
studies 1
study 2
suddenly 1
suicide 1
sure 1
team 2
that 4
the 14
to 9
tragedy 1
two 1
unannounced 1
united 1
unprecedented 1
visions 1
visits 1
walks 1
wants 1
what 1
which 1
while 1
will 1
with 2
woman 1
yax 1
young 2
zuhuykak 3
