21662236
/m/05mt6nw
/m/05mt6nw
Henry Fielding

a 4
abuses 1
added 3
addition 1
and 6
arthur 1
as 3
becomes 1
between 1
both 1
but 2
by 4
changes 1
characters 1
completely 1
critique 1
death 1
defeats 1
difference 1
discuss 1
doctors 2
does 1
doing 1
end 1
expanded 1
father 1
fielding 2
for 3
frauds 1
gaffar 1
general 1
ghost 2
giantess 1
glumdalca 1
grizzle 2
he 3
heart 1
him 1
his 1
huncamunca 1
in 4
individuals 1
instead 1
interest 1
into 1
is 5
killed 1
king 1
language 1
like 1
little 1
love 1
make 1
merlin 1
named 1
narrowed 1
not 2
of 7
on 1
only 1
outline 1
play 3
plot 2
produced 1
progresses 1
prophesize 1
removed 1
replaced 1
rest 1
rival 1
satire 1
scene 1
scenes 1
second 1
significant 1
so 1
subconsciously 1
that 1
the 11
there 1
threeact 1
thumb 4
to 3
tom 9
tragedies 1
tragedy 1
turned 1
two 1
type 1
unified 1
was 1
which 1
work 1
working 1
