34522298
/m/0crqkn
/m/0crqkn
Paulo Lins
1997
{"/m/012jgz": "Autobiographical novel", "/m/0lsxr": "Crime Fiction"}
160s 1
180s 1
70s 1
a 2
amounts 1
and 6
appearance 1
apply 1
are 3
as 1
at 1
beauty 1
becomes 1
beginning 1
begins 1
both 1
by 2
city 2
cocaine 1
come 1
conflicts 1
consuming 1
control 1
corrupt 1
criminals 3
dealing 2
delinquents 1
does 1
doing 1
drug 3
drugs 1
due 2
easily 1
effectively 1
essentially 1
evolves 1
favela 3
focus 1
follows 1
for 2
from 1
gain 1
gained 1
gang 1
gangs 1
gangsters 1
get 1
god 1
govern 1
government 1
guns 2
has 1
held 1
holdups 1
how 1
in 7
increase 1
interested 1
into 1
involvement 1
is 4
its 1
lack 1
large 2
law 1
lives 2
living 1
lords 2
low 1
made 1
make 1
money 2
natural 1
not 1
novel 3
now 1
of 3
over 2
own 1
paid 1
petty 1
police 3
power 2
progress 1
renowned 1
resulting 1
set 2
so 1
the 27
their 1
through 2
throughout 1
to 5
turns 1
ultimate 1
vast 1
wages 1
wars 1
well 1
who 2
with 1
years 1
