925789
/m/03qkdw
/m/03qkdw
David Lodge
1975
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/07z5s9": "Campus novel"}
40 1
a 6
academia 1
academic 4
academics 1
affair 1
aged 1
agrees 2
amateurism 1
american 3
amused 1
an 2
and 8
appear 1
are 1
as 2
at 2
awe 1
because 2
before 1
begin 1
berkeley 1
between 1
birmingham 1
book 1
boon 1
both 3
british 2
but 1
by 2
california 1
changing 1
charles 1
clearcut 1
comic 1
common 1
condition 1
conformist 1
consider 1
contemptuous 1
contrast 1
convened 1
conventional 1
countries 2
couples 1
course 1
daughter 1
decide 1
decision 1
differing 1
divorce 1
domestic 1
each 1
ends 2
england 1
english 1
environments 1
euphoria 1
even 1
exchange 3
fates 1
fictional 1
find 1
first 2
fit 1
for 1
former 1
go 1
has 1
have 1
he 2
his 2
home 1
hotel 1
however 2
in 10
is 5
it 1
life 1
little 1
located 1
longthreatened 1
mainly 1
man 1
marital 1
melanie 1
modeled 1
modelled 1
months 1
morris 1
move 1
native 1
new 2
novel 2
of 11
on 3
only 1
other 1
otherwise 1
out 1
part 1
participant 1
perceives 1
permanently 1
philip 1
places 1
plotinus 1
postpone 1
proceedings 1
professor 1
progresses 1
realizing 1
remaining 1
respective 1
returned 1
reveals 1
romance 1
room 1
rummidge 2
sequel 1
serious 1
she 2
situations 1
six 1
sixmonth 1
sleeps 1
small 1
somewhat 1
state 1
story 2
student 1
surprisingly 1
swallow 5
systems 1
takes 1
taking 1
tells 1
that 4
the 19
their 4
they 1
though 1
to 8
topranking 1
two 2
undercurrents 1
undergraduate 1
universities 1
up 1
very 1
way 1
well 1
what 1
who 2
wife 2
with 5
without 2
world 1
york 1
zapp 6
