8100617
/m/026rgg8
/m/026rgg8
Bernard Cornwell
1989
18000 1
1814 1
a 9
about 1
absence 1
access 1
account 1
accused 1
action 1
adversaries 1
after 1
afterwards 1
agent 1
all 1
allegation 1
alliance 1
allow 1
ally 1
almost 1
also 1
among 1
an 2
anatgonist 1
ancestral 1
and 34
are 4
army 1
arrangements 1
arrest 1
arrested 1
arrival 1
arrive 1
as 6
assassins 1
assembled 1
assuage 1
assumed 1
at 5
attached 1
attorney 1
authorities 1
await 1
bad 2
bampfylde 2
battle 2
become 2
been 1
before 2
begins 1
besieged 1
boats 1
bordeaux 2
bought 1
break 1
british 1
buch 2
but 4
buttocks 1
by 7
calvet 4
can 1
cannon 1
captain 2
captured 1
capturing 1
cardinal 4
career 1
case 1
castineau 1
charges 1
cleared 1
clearing 1
closed 1
coins 2
collect 2
combined 1
command 3
commander 1
company 1
concealed 1
confirm 1
confiscate 1
confront 1
considerable 1
contact 1
contacts 2
cork 1
count 1
country 1
cowardice 1
cutting 1
dalembord 2
de 2
defeated 1
directed 1
discharged 1
disciplined 1
disguised 1
dispatches 1
dorset 1
down 1
ducos 10
duel 2
duelling 1
either 1
elba 1
emergency 1
end 1
england 4
english 1
escape 2
evidence 1
executed 1
exile 1
exonerate 2
expensive 1
faced 1
fall 1
false 1
farm 1
fashionable 1
fears 2
fights 1
finally 1
find 1
fires 1
firing 1
first 1
for 4
force 2
forces 1
form 1
former 3
fort 1
fortress 1
forward 1
frederickson 10
french 3
friend 1
friends 1
from 7
fugitives 1
general 2
gold 4
grants 1
grows 1
guard 1
had 1
harper 7
has 8
he 5
hearing 1
help 2
henri 2
her 6
him 2
himself 2
his 9
home 2
hoping 1
horsewhipped 1
house 1
husband 1
identifies 1
identity 1
ignoring 1
ill 1
illegal 1
imminent 1
in 21
infiltrate 1
injures 1
injuries 1
instructed 1
instructions 2
intercepted 1
ireland 1
is 8
it 1
italy 2
jane 8
john 1
just 1
keenly 1
killed 1
killer 1
lady 1
large 1
lassan 6
latter 1
learning 1
learns 3
leave 1
leaves 2
leaving 1
letter 1
life 2
loads 1
local 1
locals 1
lodged 1
london 3
looking 1
lord 1
lose 1
lovers 2
loyalty 1
lucille 7
make 1
makes 1
may 1
men 4
mercenaries 1
military 2
mistake 1
mistakenly 1
money 3
murder 3
nairn 1
name 1
naples 3
napoleon 6
neapolitans 1
new 1
no 6
normandy 3
novel 3
now 2
nurses 1
of 19
off 1
officers 1
old 1
on 5
only 1
or 1
out 3
over 3
paris 1
part 2
passed 1
personal 1
peter 1
pierre 1
point 1
polish 1
power 1
pregnant 1
prevent 1
previous 2
prize 1
profession 1
proposes 1
prosecutor 1
protection 1
purchase 1
pursuit 1
ranks 1
reaching 1
realize 1
receive 1
recover 1
refused 1
refuses 1
relationship 1
remaining 1
resulting 1
retired 1
retirement 1
retrieve 1
return 3
returns 2
reveals 1
richard 1
riflemen 1
rossendale 1
sea 2
second 1
sends 2
set 1
sharpe 30
she 2
shoots 1
shortly 2
siege 1
sister 1
small 2
source 1
spindacre 1
spymaster 1
squad 1
statement 1
stealing 1
stolen 1
street 1
successfully 1
sum 1
surround 1
suspicions 1
taken 2
takes 4
taking 1
terms 2
teste 2
that 5
the 51
their 1
them 3
then 1
there 1
they 3
three 1
to 39
toulouse 2
town 1
track 1
transport 1
travel 1
treasure 4
treasury 1
tried 1
troops 2
two 3
under 1
urging 1
villa 2
wait 1
war 2
way 1
when 1
where 1
which 3
while 1
who 3
widowed 1
wife 2
will 2
winning 1
with 8
withdrawing 1
witness 2
word 1
wounding 1
writes 1
