17379669
/m/043k7qq
/m/043k7qq
Fran Ross
1974
a 5
abandoned 1
accepted 1
after 1
allow 1
ambitious 1
and 6
archaic 1
are 2
back 1
before 1
big 1
black 3
blacks 1
book 1
born 1
both 1
but 1
by 2
can 2
challenges 1
city 1
culture 2
cultures 1
discovers 1
divorce 1
dozens 1
entirely 1
essential 1
essentially 1
ethnicity 1
even 1
father 4
finding 1
for 4
forced 1
forces 1
form 1
from 2
furthermore 1
futile 1
gains 1
grandparents 1
greek 1
grows 1
heads 1
her 8
however 1
humorous 1
importance 1
in 5
inherently 1
inspired 1
into 1
is 4
it 3
its 1
itself 1
jewish 1
live 2
living 1
lost 1
make 1
male 1
maternal 1
mission 1
mother 2
myth 4
narrative 3
new 1
nonforeign 1
nothing 1
notions 1
novelistic 1
of 6
on 2
oreo 8
out 1
pack 1
paternity 2
patriarchy 1
philadelphia 1
phone 1
picaresque 1
placed 1
playful 1
puberty 1
quest 2
race 1
reappropriate 2
reinvent 1
reinvents 1
ross 1
sam 1
schwartzes 1
search 3
she 2
since 1
so 1
soon 1
structure 1
suggesting 1
tale 1
that 3
the 15
theatrical 1
theme 1
themes 1
there 1
theseus 3
they 1
this 1
through 1
to 6
tours 1
trap 1
trope 1
troupe 1
turns 1
two 1
undermines 1
up 1
uses 1
which 1
while 1
white 3
who 2
wickedly 1
with 3
within 1
york 1
