10795434
/m/02qq791
/m/02qq791
Daniel Pinkwater
1990-04
26 1
a 16
about 1
agrees 1
all 1
along 1
although 1
among 1
an 5
and 11
ape 1
apparently 1
are 2
around 1
arrive 1
as 4
at 2
attempt 1
bagel 1
be 1
becomes 1
befriends 1
begins 1
beings 1
bloboform 1
book 1
borgel 9
boy 1
break 1
but 2
by 1
cafe 1
called 1
can 1
capable 1
car 1
case 1
claiming 1
confirming 1
crazy 1
criticizes 1
day 1
disguising 1
does 1
dog 1
dorbzeldge 1
down 1
earth 1
eats 1
eccentric 1
elliptical 1
end 1
ends 1
entirely 1
even 1
eventually 1
everything 1
evil 1
explains 1
fact 1
fafner 2
family 3
fearsome 1
feeling 1
fields 1
find 1
for 2
freddie 4
frolicking 1
from 1
gain 1
gaining 1
genius 1
glubgo 1
glugo 1
go 2
goes 1
gone 1
great 3
grivnizoid 1
grivnizoida 1
group 2
had 1
hanger 1
hapless 1
has 2
he 7
hell 1
help 1
highway 2
him 1
himself 1
his 2
house 1
how 1
in 12
instead 1
interesting 1
into 1
invisible 1
invites 1
is 10
island 2
it 1
itself 1
jersey 1
language 1
large 1
least 1
leaves 1
left 1
like 3
live 1
living 1
local 1
love 1
man 1
map 1
meet 1
meeting 1
melvin 9
met 1
most 1
multiple 1
named 1
new 1
nfbnm 2
night 1
no 1
normal 1
not 1
of 10
off 1
often 2
on 2
one 4
original 1
other 2
others 2
patrons 1
peacefully 1
people 1
person 2
persuades 1
pick 1
point 1
poppy 1
popsicle 7
power 1
powerful 1
powers 1
related 1
repeatedly 1
returns 1
rubs 1
same 1
say 1
search 1
see 1
seeds 1
seen 1
shows 1
skipping 1
sleeps 1
somehow 1
son 1
soon 1
space 4
speak 1
species 1
strange 2
suburbs 1
such 1
sure 1
surrounded 1
talks 1
tells 1
that 6
the 27
them 1
they 8
thinks 1
this 2
though 1
through 1
time 5
timespace 1
to 11
toad 2
told 1
tourist 1
traveled 1
traveling 3
trees 1
trio 2
universe 1
up 4
upside 1
using 1
view 1
viscous 1
walk 1
warns 1
weak 1
where 2
who 4
wire 1
with 5
young 1
