2462995
/m/07fvjj
/m/07fvjj
Jamaica Kincaid
1985-03
a 7
adults 1
alienating 1
all 1
also 1
an 1
and 8
annie 4
as 1
at 1
attracted 1
away 1
become 1
becomes 2
book 2
both 1
boy 1
but 1
by 1
calls 1
clear 1
climbs 1
close 1
closer 1
crowd 1
day 1
depression 1
different 1
distances 2
emotionally 1
ends 1
england 1
everywhere 1
falls 1
family 1
follows 1
for 1
friends 3
from 5
girl 4
girlfriends 1
her 11
herself 3
home 1
house 1
hurt 1
in 5
intellectually 1
is 3
it 1
john 3
kind 1
knew 1
lady 1
later 2
learns 1
leaving 1
life 1
like 1
live 1
loved 1
make 1
mental 1
mother 4
must 2
new 2
note 1
nursing 1
of 3
on 1
other 1
out 1
physically 1
protagonist 1
prove 1
quickly 1
red 2
school 3
sent 1
she 8
shocked 1
some 2
starts 1
suffers 1
symbolic 1
teach 1
that 3
the 4
to 5
trees 1
tries 1
when 1
where 1
which 2
while 2
who 2
whom 1
wild 1
with 1
worships 1
young 1
