4647958
/m/0cfcjv
/m/0cfcjv
Alexandre Dumas
1843
a 13
about 1
accomplishment 1
acknowledge 1
afterward 1
against 1
alongside 1
also 1
an 1
and 7
any 1
appears 1
art 1
as 1
attempt 1
be 2
beautiful 1
because 2
become 3
becomes 4
behalf 1
between 1
blacks 1
blow 1
british 1
brother 4
brothers 1
brought 1
by 3
cant 1
captain 1
child 1
circles 1
colour 1
concerns 1
condemned 1
conspires 1
control 1
crushing 1
cultured 1
de 1
deeply 1
delivers 1
die 1
discovers 1
educated 2
europe 2
executed 1
fails 1
falls 1
father 4
fields 1
fight 2
forces 1
forgotten 1
found 1
france 1
from 1
gain 1
gang 1
george 3
georges 9
gets 1
has 2
have 1
he 7
henry 1
him 2
his 5
however 1
hunting 1
if 1
ignore 1
in 7
incarcerated 1
injustice 1
instead 1
invading 1
is 4
island 1
isle 1
job 1
lead 1
leads 1
led 1
life 1
lightskinned 1
little 1
love 1
m 2
malmedie 2
man 1
mauritius 1
mocks 1
mulatto 2
munier 1
named 1
not 1
novel 1
now 1
numerous 1
of 13
old 1
older 1
on 2
other 2
overcomes 1
owner 2
owners 3
parisian 1
partblack 1
pirates 1
plantation 5
popular 1
ranging 1
refuse 1
refusing 1
resulting 1
retaliation 1
return 1
revolt 2
sailing 1
saved 2
seducing 1
sends 1
separated 1
ship 1
skilled 1
slave 1
slavery 1
slaveship 1
so 1
society 1
son 2
tests 1
that 3
the 21
them 1
this 2
through 1
time 1
to 10
toast 1
tolerate 1
two 1
upon 1
variety 1
very 1
weaknesses 1
wealthy 1
when 2
while 2
white 2
who 1
will 1
with 1
witnesses 1
woman 1
women 1
worried 1
