26388977
/m/0dq696
/m/0dq696
Emma Clayton
2008
100 1
30 1
a 38
about 1
absence 1
accidentally 2
acts 1
after 6
ago 1
alive 1
all 3
along 1
also 1
although 1
always 1
an 4
and 28
anger 1
animals 1
announce 1
announced 1
apartment 2
apartments 1
arcade 1
archenemy 1
are 10
area 1
army 1
artificial 1
as 1
ask 1
at 4
atlantic 1
audrey 5
away 1
awen 1
back 4
ball 1
barford 3
base 1
be 4
because 1
bed 1
been 2
before 1
beginning 1
behind 1
being 3
believe 2
believes 1
bleed 1
board 1
book 2
borg 4
both 2
boy 2
breath 1
but 2
by 2
cage 1
called 3
calls 2
came 1
camp 3
can 2
cape 2
captured 1
captures 1
capuchin 1
car 1
caribbean 1
cellphone 1
challenge 1
challenges 1
chart 1
children 6
cleared 1
clearly 1
come 1
comes 1
companion 1
competition 2
conscious 1
consist 1
credit 1
day 2
dead 2
death 1
development 3
device 1
dinner 1
do 3
does 2
dog 1
done 1
down 1
dream 2
dreams 1
drink 2
during 2
each 2
ellie 10
else 1
embrace 1
emulates 1
enclosed 1
england 1
escape 1
even 1
eventually 1
everyone 1
examined 1
exercise 1
exercises 1
experiments 1
extreme 1
eyes 1
fact 1
faithful 1
fake 2
faked 1
family 1
fancy 1
feet 1
fight 1
fighter 8
finally 1
find 2
fine 1
finished 1
fire 1
first 4
fish 1
fit 3
flies 1
floodwaters 1
fly 2
flying 2
fold 1
follows 1
for 10
forced 1
forces 1
forest 1
foundation 2
from 6
further 1
futuristic 1
game 1
gave 1
get 1
girl 1
give 1
given 2
go 1
goes 1
gold 1
golden 3
good 1
gorman 5
government 1
grieves 1
group 1
guide 1
gunner 1
harpoons 1
has 9
have 3
he 23
heads 3
healed 1
held 1
helen 2
help 1
hemispheric 1
her 9
him 10
his 18
hit 1
home 3
hoping 1
horde 1
house 1
hover 1
how 1
human 1
hundred 1
if 1
in 21
including 1
instructor 1
intelligence 1
interest 1
into 1
is 19
island 1
islands 1
it 2
kidnapped 1
kids 3
kill 2
kills 1
know 3
knows 1
kobi 1
lab 1
lady 1
large 1
later 1
leader 1
learns 1
leave 1
lets 1
level 1
lied 1
lift 1
like 2
limit 1
live 2
located 1
london 2
long 1
love 1
made 1
make 1
makes 2
mal 8
meeting 2
meets 2
mika 18
military 2
mind 2
mix 1
monkey 1
more 2
most 1
move 2
moves 2
mr 1
mutant 1
mutations 1
named 4
nearly 2
needs 1
new 7
news 1
next 2
nightmares 1
no 1
none 1
north 3
not 2
now 1
numerous 1
nurse 1
obsessed 1
ocean 1
of 20
off 1
old 1
on 4
once 1
one 3
other 3
out 3
outnumbered 1
outraged 1
over 2
overworked 1
painted 1
paired 1
parents 4
people 6
person 1
personality 1
physical 1
plague 1
play 1
pod 8
poverty 1
powers 1
prepare 1
prepared 1
prizes 1
probably 1
product 1
puck 2
punished 1
pushes 1
quickly 1
react 1
reappears 1
red 1
refuses 2
relax 1
reminded 1
resembles 2
resort 1
rest 1
room 1
round 3
ruben 1
said 1
says 3
school 3
scotland 1
second 1
see 3
seek 1
seem 1
seems 2
selected 1
send 1
set 2
shadows 2
she 10
shooting 1
shot 1
sister 3
sleeps 1
slight 1
so 2
some 1
something 1
soon 2
southern 1
special 1
states 1
stay 1
staying 1
still 2
story 1
strange 2
stricken 1
suspension 3
take 1
taken 4
taking 1
teach 1
televisions 1
tell 1
tells 4
telly 2
tellyhead 1
test 1
tests 2
than 1
that 15
the 56
their 5
them 5
themselves 1
there 5
they 18
things 1
time 1
to 35
told 1
toward 1
towards 1
towers 1
training 1
trust 1
try 1
trying 1
turrets 3
twins 1
underestimated 1
unimaginable 1
until 1
up 4
uproar 1
very 1
wall 2
wanted 1
war 2
was 3
way 1
wealthiest 1
week 1
were 1
when 3
where 1
which 1
while 5
who 7
why 1
will 4
winner 1
winners 1
winning 1
with 17
wolves 2
world 1
wrath 2
year 2
years 1
you 2
your 1
youth 3
