14239822
/m/03cytr2
/m/03cytr2
George Chapman


a 16
about 3
abroad 1
absence 1
acquiesce 1
act 2
affection 1
again 1
alleged 1
also 1
an 1
and 22
anne 4
appointed 1
approach 1
are 3
as 4
at 3
attempting 1
attendance 1
attraction 2
balance 1
be 1
been 3
betrothed 1
body 1
both 1
bows 1
broken 1
by 4
centers 1
central 1
character 2
chivalrous 1
comes 1
comic 1
conceives 1
confront 1
count 2
countess 3
course 1
court 3
courtiers 2
courtly 1
day 2
died 1
different 1
discovers 1
disguise 1
disordered 1
do 1
dolive 4
drama 1
draws 1
duchess 2
duke 4
duped 1
earl 7
early 1
ego 1
embalmed 1
embarrasses 1
embassyand 1
emotional 1
emotions 1
end 1
eurione 6
excesses 1
exposed 1
false 2
family 1
fantastical 1
fictitious 1
find 2
foppish 1
for 2
foreign 1
forged 1
france 1
french 1
friend 1
friends 2
friendship 1
from 3
further 1
gallant 1
gentleman 1
gives 1
giving 1
go 1
gobetween 1
gotten 1
grief 1
had 3
has 7
he 12
hed 1
her 4
him 3
himself 2
his 13
home 1
however 1
husband 2
idealization 1
idealizes 1
important 1
in 5
inamorata 1
infidelity 1
intensely 1
interrupts 1
into 2
is 6
isolation 1
its 3
jacobean 1
jealous 1
joined 1
joking 1
journey 1
keep 1
kept 1
king 1
kissing 1
lady 1
late 1
leads 1
left 2
lets 1
letter 1
liable 1
life 1
lifestyle 1
little 1
lives 1
local 1
longwinded 1
love 2
main 1
marcellina 5
masks 1
mdash 2
meet 1
merchant 1
missed 1
monsieur 1
morning 1
mourn 1
mugeron 1
must 1
nature 1
nephew 1
night 2
nocturnal 2
of 16
offended 1
old 1
on 4
once 2
one 1
only 1
out 2
outburst 1
over 1
overcome 1
own 1
part 1
personal 1
persuasively 1
perversely 1
platonic 1
play 3
plot 1
pompous 1
portrait 1
potential 1
predicament 1
previously 1
problem 1
problems 1
prominent 1
provoked 1
reach 1
realize 1
realizes 1
rendered 1
report 1
request 1
restore 1
result 1
retire 1
retreated 1
returns 1
rodrigue 1
romantic 1
sanity 1
satirical 1
seclusion 1
selfimposed 1
semblance 1
sending 1
she 2
sister 3
sleeping 1
so 4
society 1
solicits 1
solution 1
sort 1
speeches 1
spell 1
st 4
story 1
strangely 1
subplot 1
take 1
takes 1
tells 1
thanks 1
that 11
the 30
their 5
them 2
they 1
thinking 1
this 1
though 1
threeyears 1
through 1
title 1
to 19
tobacco 1
together 1
travels 1
trick 1
tricks 1
two 3
unfaithfulness 1
up 1
upon 1
vain 1
vandome 11
vaumont 3
verbose 1
victim 1
waking 1
was 1
when 2
which 1
wife 2
wit 2
with 4
women 1
works 1
