3618655
/m/09q9vf
/m/09q9vf
Diane Duane

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 7
about 1
after 1
and 1
another 1
are 1
art 1
be 1
become 1
big 1
book 3
brings 1
bullies 1
but 1
callahan 1
can 1
claim 1
complete 1
completely 1
day 1
discovers 2
do 1
does 1
doubts 1
first 1
from 1
girl 1
gone 1
her 2
hiding 1
home 1
if 1
in 1
is 4
it 2
kit 1
library 1
meets 1
next 1
nita 2
nonetheless 1
not 1
oath 1
of 1
out 1
rodriguez 1
she 8
so 1
spell 2
successfully 1
takes 2
that 2
the 5
they 1
thirteenyearold 1
titled 1
to 2
together 1
trust 1
trying 1
want 1
when 1
while 1
who 1
with 1
wizard 5
wizardry 1
you 1
