1995262
/m/06cn33
/m/06cn33
Nikos Kazantzakis

130s 1
a 24
about 5
absorbed 1
absorbs 1
after 1
alexis 1
alienated 1
almost 1
also 1
amorality 1
anagnostis 1
and 32
any 1
approaches 1
are 4
around 3
arrival 1
as 5
aside 1
ask 1
at 2
attempts 1
attitude 1
autumn 1
bathinghut 1
bathinghuts 1
be 2
been 2
before 1
begins 1
being 3
book 2
books 2
born 1
both 1
bouboulina 1
brute 1
buddha 1
burst 1
but 2
by 4
caf 1
cafowner 1
came 1
carefully 1
caucasus 1
characteristic 1
chef 1
cimbalom 2
circumstances 1
claims 1
comedy 1
completely 1
conversations 1
copy 1
courtesan 1
crete 3
cruel 1
dante 2
dawn 1
day 1
deal 1
death 1
decides 1
demons 1
departure 1
despite 1
dinner 1
dip 1
distance 1
disused 1
divine 1
doing 1
door 1
duration 1
each 2
elsewhere 1
emotionality 1
emotionally 1
employ 1
end 1
enters 1
equates 2
ethnic 1
eventually 1
experiences 1
expertise 1
expressive 1
eyes 1
fascinated 1
fears 1
feels 1
few 1
financially 1
for 11
forced 1
foreman 1
frequently 1
friend 2
from 4
get 2
gives 1
glass 1
gleaned 1
goes 1
good 1
great 3
greek 2
greeks 1
gusty 1
had 1
harshness 1
has 5
have 1
having 2
he 14
help 2
her 4
him 8
himself 3
his 15
hortense 2
hospitality 1
hotel 2
hours 1
how 1
humanity 1
ideals 1
if 2
immediately 1
immerse 1
impassioned 1
in 10
intellectual 1
internal 1
interrupted 1
into 2
introduces 1
invite 1
is 11
island 1
it 1
just 1
keep 1
kind 1
know 1
kondomanolious 1
lack 1
landscape 1
large 1
lascivious 1
learns 1
leave 1
left 1
lengthy 1
life 3
lignite 1
listening 1
lives 1
long 1
lovemaking 1
madame 2
mainland 3
major 1
make 1
man 3
manner 1
many 1
mark 1
mine 2
miner 1
moment 1
months 1
more 1
morning 1
much 1
narrative 1
narrator 12
natural 1
near 1
needed 1
new 1
next 1
no 1
not 2
nothing 1
novel 1
now 1
number 1
of 27
off 1
old 2
on 7
once 1
one 4
opens 2
opinions 1
or 2
order 2
ordered 1
other 3
otherwise 1
out 1
outward 1
overall 1
overcome 1
own 1
pair 1
paper 1
part 1
parting 1
past 2
peasants 1
peering 1
people 2
persecution 1
petname 1
piraeus 1
player 1
plays 1
plucks 1
plunges 1
powerful 1
premonition 1
prose 1
protagonist 1
quite 1
reads 1
reject 1
religion 1
remember 1
reminds 1
reopen 1
requests 1
resolves 1
respects 1
restrained 1
returning 1
returns 1
reversal 1
roaming 1
role 1
romania 1
room 1
row 1
santuri 1
saying 1
seduces 1
sees 1
seethes 1
sense 1
set 2
sets 1
share 1
significantly 1
sixty 1
sober 1
socialist 1
soliloquies 1
some 1
sounds 1
spends 1
spent 1
stavridakis 2
stay 1
studying 1
stung 1
subjects 1
such 1
suggestion 1
sunday 1
table 1
takes 1
talk 2
teachings 1
than 1
that 4
the 50
their 6
they 5
things 1
through 1
timing 1
to 23
tone 1
tragedy 1
turns 1
two 1
undergoing 1
variety 1
ventures 1
void 1
warns 1
watched 1
way 2
whatever 1
when 1
where 1
which 7
while 2
who 4
whom 1
whomever 1
whose 1
will 1
with 5
without 1
words 1
work 3
workers 1
working 1
workingclass 1
works 1
world 1
wrenching 1
writing 1
you 1
young 1
your 1
youre 2
zest 1
zorba 15
