4014568
/m/0bcl16
/m/0bcl16
Pär Lagerkvist
1950
a 6
about 1
after 1
along 1
also 1
and 6
arrested 1
as 2
barabbas 5
been 1
being 1
belief 1
believe 1
brigand 1
but 2
by 1
cannot 1
christian 2
christians 1
conflagration 1
consequently 1
cornerstone 1
crowd 1
crucified 2
died 1
different 1
do 1
does 1
down 1
earth 1
ends 1
enthusiastically 1
ever 1
exalted 1
faith 3
fascinated 1
finds 2
fire 1
followers 1
for 4
golgotha 1
great 1
had 1
he 12
heaven 1
helps 1
hence 1
his 2
holiness 1
importantly 1
in 2
is 8
jesus 4
kingdom 1
love 2
man 3
many 1
martyr 1
match 1
mistakes 1
more 1
mount 1
much 1
muster 1
new 1
not 3
observation 1
of 11
on 1
other 1
out 1
place 1
prerequisite 1
rebel 1
recipient 1
resignation 1
respect 1
rome 2
sacrifice 1
says 1
seeks 1
side 1
since 1
skeptical 1
so 1
spread 1
stands 1
start 1
that 3
the 16
their 1
to 6
too 1
trials 1
tribulations 1
trying 1
unable 3
understand 4
understanding 1
up 1
views 1
violent 1
wants 1
where 1
who 1
with 1
yet 1
