49917
/m/0d7q5
/m/0d7q5
Mary Shelley
1826-02
1818 1
202 1
2100 1
21st 1
a 24
abandon 1
able 1
accompanied 1
account 1
acquaintances 1
across 2
adjusts 1
administrator 1
adrian 21
adriatic 1
after 7
against 2
all 1
alone 2
along 1
although 2
ambition 1
america 1
americas 1
amidst 1
amongst 3
an 2
and 50
are 1
arise 1
army 1
arouse 1
arrive 1
artistic 1
as 3
assist 1
assistance 1
at 6
athens 1
attempt 2
attempts 2
austria 2
away 1
baby 2
back 2
be 3
bears 1
because 4
become 1
becomes 2
becoming 1
been 2
before 5
beloved 1
benevolent 1
between 2
black 1
body 1
both 1
bring 2
brings 1
burial 1
but 10
by 6
came 1
care 2
carrying 1
cast 1
cause 1
causes 1
cave 1
century 1
children 1
chooses 1
city 1
civilized 1
claims 1
clara 3
climate 2
close 1
colder 1
collection 1
come 1
command 1
commits 1
como 1
confirms 1
confront 1
constantinople 2
continues 1
convinces 1
countess 5
created 1
cult 1
cumaean 1
cumberland 1
current 1
death 2
decide 1
declares 1
delivered 1
departure 1
desertion 1
develops 1
did 1
died 3
dies 5
discovered 2
discovering 1
discovers 5
disease 1
dissension 1
divided 1
dover 2
drowns 1
drug 1
dying 2
earlier 1
easier 1
edited 1
effective 1
effects 1
elected 1
emigrants 1
employing 1
en 1
end 2
ends 1
england 7
enjoy 1
enter 1
enters 1
escape 1
europe 1
evadne 6
eve 1
evelyn 2
even 1
everything 1
exile 1
exiles 3
explanation 1
exploits 1
face 1
factions 2
fall 1
false 1
family 5
fanatical 1
father 3
favorable 1
fears 1
few 2
fighting 2
financial 1
find 1
finds 1
fire 1
first 2
firstperson 1
flees 2
followers 4
for 10
force 2
four 2
france 2
friend 1
friends 1
from 6
gambling 1
go 2
goes 1
good 1
greece 5
group 1
grow 2
grows 1
grudge 1
had 1
happily 1
happy 1
has 7
hatred 1
have 2
he 9
help 1
helps 1
her 15
hiding 1
him 3
his 17
hoping 1
however 3
humanity 1
husband 1
idris 8
illness 2
imposter 3
in 23
infidelity 1
influence 2
intends 2
intention 1
into 4
introduction 1
invading 1
ireland 2
is 11
isolation 1
join 1
juliet 3
killed 2
king 5
largely 1
last 1
later 3
latter 1
lawlessly 1
learning 1
learns 1
leave 1
leaves 4
led 1
left 2
less 1
letter 4
life 1
lionel 28
live 1
lives 1
living 2
london 1
lord 3
love 5
loyal 1
lucy 3
mad 1
main 1
maintaining 1
make 1
man 2
marriage 1
marries 1
marry 2
martin 1
mary 1
maternal 1
messiah 1
milan 1
military 1
mollified 1
monarchy 1
most 1
mother 3
motivated 1
moves 1
naples 1
narrative 2
nature 2
near 1
neglect 1
never 1
newfound 1
no 1
normality 1
northward 1
nursing 1
obscurity 1
of 31
on 6
only 1
opposes 1
opposition 1
order 1
other 1
others 1
out 1
over 1
own 2
painted 1
panic 1
parental 1
paris 1
party 1
passionate 1
peacefully 1
perdita 6
personal 1
philosophical 1
physically 1
plague 7
plead 1
plot 1
plunder 1
political 3
politically 1
position 3
poverty 1
presumably 1
prophecy 1
prophesies 1
prophetic 1
protector 2
proud 1
provisions 1
rages 1
raise 1
raises 1
raymond 15
reach 1
reaches 2
received 1
receives 1
recently 2
reclaim 1
reconciled 1
recovers 2
refuses 2
rejoin 1
relationship 1
relatively 1
religious 1
remaining 1
remains 1
renown 1
reports 2
republic 1
rescue 1
resentful 1
resentment 1
resigns 1
resolve 1
result 1
return 2
returned 1
returns 2
route 1
royal 1
ruin 1
rumors 1
runs 1
ryland 1
safe 1
sail 1
saved 1
schemes 2
scotland 1
sea 1
search 2
seasons 1
secrecy 1
sect 1
separate 1
settled 1
she 6
shelley 1
ships 1
shore 1
shortly 1
shunned 1
sibyl 2
sickens 1
sister 1
situation 1
skills 1
sneaks 1
snowstorm 1
so 1
social 1
society 1
son 1
soon 5
spend 2
spite 1
spread 1
states 1
step 1
stockpile 1
storm 1
story 1
stress 1
sudden 1
suicide 1
summer 3
sun 1
support 1
survivors 3
suspects 1
suspicions 2
swims 1
switzerland 3
take 3
taken 1
takes 1
terrorise 1
that 8
the 73
their 3
them 2
then 1
there 1
these 1
they 1
this 1
thought 1
throne 3
through 1
throughout 1
time 2
to 53
together 1
tomb 1
towards 3
travel 2
try 1
turkey 1
turmoil 1
two 2
typhus 1
ultimately 2
unable 1
uncivilized 1
under 2
unites 1
unprepared 1
until 1
unwilling 1
up 1
verney 1
versailles 1
violent 1
war 3
warning 1
was 4
way 1
weak 2
wellbeloved 1
when 3
where 2
which 2
while 2
who 7
whom 1
whose 1
will 1
wins 1
with 5
world 1
wounded 1
wounds 1
writings 2
year 1
years 1
