3979513
/m/0b9t99
/m/0b9t99
Jeff Mariotte
2000-08-01
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/0dwly": "Children's literature"}
a 9
actress 1
after 1
allow 1
an 3
and 5
angel 10
anything 1
are 2
as 3
attempting 1
attempts 1
banished 1
been 1
being 1
believes 1
big 1
bodyguards 1
brat 1
but 3
by 2
case 1
close 1
company 1
convinces 1
cordelia 1
cordy 1
coworkers 1
creature 1
daughter 1
deal 1
demon 1
destroy 1
die 1
draining 1
duplicate 1
energy 1
escapes 1
essence 1
even 1
eventually 1
feat 1
finds 1
for 1
found 1
from 1
gets 1
getting 2
girl 1
give 1
guard 1
guide 1
has 1
he 2
head 1
hell 1
her 3
him 1
himself 1
hired 1
his 3
hollywood 1
immortal 1
immortality 1
in 3
into 1
irish 1
is 9
it 1
its 1
jack 2
job 1
karinna 3
knowing 1
life 1
magician 1
mordractus 4
nightspots 1
of 1
off 1
out 1
persuaded 1
point 1
popular 1
power 1
powerful 1
question 1
rather 1
rent 1
retaining 1
reveals 1
rogue 1
saving 1
several 1
situation 1
soon 2
soul 1
spells 1
spoiled 1
steal 1
struggle 1
studio 1
summon 1
supernatural 1
surviving 1
takes 1
than 1
that 3
the 4
there 1
to 11
too 1
tour 1
tracked 1
tracking 1
trapped 1
trouble 1
trying 1
unfortunately 1
unknown 1
unless 1
way 2
when 1
while 1
will 1
willitts 1
with 1
woman 1
worsens 1
writing 1
yet 1
young 1
