11000985
/m/02qxs1f
/m/02qxs1f
Lan Cao
1997
168 1
175 2
25 1
4 1
a 15
about 5
accompanied 1
accordance 1
acquaintances 1
act 2
active 1
adjusts 1
adopt 1
after 3
again 1
all 2
also 2
america 4
american 1
americas 1
ancestral 1
and 24
anything 1
apart 1
are 2
around 1
arrival 1
as 1
at 4
attempts 1
attending 1
avoiding 1
away 2
baba 15
back 3
basic 1
bay 1
be 1
because 3
becomes 2
been 3
before 1
befriends 1
begins 1
behind 2
being 1
believed 1
benefits 1
best 2
blood 1
boarding 1
bobbie 1
body 3
border 1
brain 1
bridge 1
bring 1
brings 1
burial 2
but 4
by 4
call 1
calling 1
can 1
canada 1
caos 1
catholic 1
chance 1
changed 1
child 1
clot 1
college 1
comments 1
commitment 1
committing 1
community 1
condition 1
consists 1
convince 1
country 1
course 1
cross 1
crucial 1
curious 1
dangerous 1
day 1
debut 1
decides 2
decision 1
declared 1
deported 1
desperately 1
details 1
did 1
dies 1
different 1
discharged 1
does 2
due 1
during 1
endless 1
entire 1
escapade 1
escort 1
every 2
facts 1
fails 4
falls 2
family 2
father 4
fault 1
fears 1
few 1
finally 1
flees 1
for 4
forced 1
fracture 1
freefire 1
friend 2
from 6
get 1
gets 3
government 1
grandfather 3
had 1
half 1
hamlet 1
has 8
he 2
health 1
help 1
her 32
him 1
his 8
history 1
home 3
hopefully 1
hospital 2
how 1
however 1
idling 1
immigrant 1
in 16
incautiously 1
into 1
is 6
join 1
keep 1
kept 2
khan 1
khans 2
know 1
lan 1
land 2
landlord 4
last 1
later 2
learn 1
learns 1
leave 3
leaves 1
left 2
let 1
letters 2
life 1
little 1
living 1
loses 1
mai 9
maintain 1
make 3
manages 1
means 1
meanwhile 1
meet 1
michael 2
minute 1
mishap 1
monkey 1
months 1
more 1
mother 6
mothers 6
move 1
moved 1
movement 1
movethe 1
mrs 1
murder 1
murderous 1
mysterious 1
narrators 1
nearby 1
never 3
new 1
not 5
novel 2
of 4
on 6
once 2
one 1
only 1
opposing 1
out 1
panic 1
paralysis 1
past 1
pastthe 1
payments 1
perform 1
permanent 1
phone 1
plan 3
planning 1
proper 1
prostitutes 1
pry 1
quan 13
quans 2
rage 1
read 1
reason 2
recalls 1
recovered 1
refers 1
relocate 1
rental 1
retreats 1
revenge 1
rich 2
ritual 1
rituals 1
riverbank 1
room 1
runs 1
saigon 5
same 1
says 1
scar 1
school 1
secret 1
secures 1
see 1
send 1
settled 1
several 2
shame 1
she 6
shift 1
show 2
side 1
since 1
sleep 1
sneaks 1
so 1
socially 1
some 2
soon 1
specific 1
starts 1
states 5
stays 1
steals 1
sterile 1
still 1
stitched 1
strategic 1
struck 1
succeed 1
succeeds 1
such 1
suffering 1
summer 1
superficial 1
supposed 1
take 1
teenage 1
tell 1
telling 1
temporarily 1
thanh 13
thanhs 2
that 5
the 29
their 4
them 1
then 1
there 1
they 3
things 1
this 2
three 1
time 2
to 32
together 2
transition 1
traverses 1
trip 1
truly 1
tuyet 1
two 1
unable 1
uncle 3
understands 1
united 5
unknown 1
unspoken 1
up 2
us 1
very 1
veteran 1
vietcong 2
vietnam 4
vietnamese 3
village 2
vivid 1
wanting 1
wants 1
war 2
way 1
what 1
when 2
where 1
which 1
while 1
who 5
whose 1
why 1
wife 3
wild 1
with 8
without 1
witnesses 1
working 1
worlds 1
worries 1
would 1
writing 1
wrong 1
years 1
yet 1
zone 1
