13162935
/m/02z9dsr
/m/02z9dsr
Diana Gabaldon
2004
{"/m/0l67h": "Novella", "/m/0hwxm": "Historical novel"}
a 3
and 1
at 3
briefly 1
complicated 1
creature 1
discovered 1
english 1
first 1
for 1
graveyard 1
grey 1
group 1
gundwitz 1
hanoverian 1
he 3
i 1
john 1
joining 1
local 1
lot 1
more 1
of 2
only 1
placate 1
pllord 1
reality 1
received 1
reports 1
sceptical 1
search 1
soldiers 1
soon 1
stationed 1
strange 1
succubus 1
sukub 1
than 1
that 1
the 4
thought 1
to 1
town 1
townspeople 1
was 2
when 1
with 1
