1943904
/m/067ydq
/m/067ydq
Christopher Marlowe
1590

1 1
2 1
a 11
act 1
acts 1
africa 1
after 2
against 3
although 1
and 19
anger 1
as 4
asia 1
assume 1
at 1
attempts 1
attention 1
avenge 1
babylon 1
bajazeth 5
bandit 1
bars 1
bashing 1
battle 2
battlefield 1
be 2
before 1
bids 1
body 1
bound 1
brother 1
burns 1
but 3
by 3
cage 1
callapine 2
calyphas 2
can 1
capturing 2
chariot 1
children 1
city 3
claims 1
complies 1
confronted 1
conquer 2
conquering 1
conquerors 1
continent 1
continues 1
control 1
copy 1
cosroe 3
crowning 1
damascus 1
daughter 1
day 1
death 2
declaring 1
defeat 1
defeated 2
defeating 1
defeats 1
departs 1
dies 1
directly 1
dispatches 1
displays 1
dispose 1
does 1
draw 1
during 1
earth 1
egyptian 2
emperor 4
empire 1
empress 1
ends 1
escapes 1
extravagant 1
eyes 1
father 2
fatherinlaw 1
feeds 1
fight 1
figure 1
final 1
finding 2
first 1
foe 1
footstool 1
for 1
forces 1
former 1
from 3
further 1
gathers 1
god 1
governor 1
greater 1
grooms 1
group 1
has 1
he 10
head 1
hearing 1
her 2
him 7
himself 2
his 22
holds 1
holla 1
hung 1
husband 1
ill 1
in 12
incurs 1
inhabitants 1
instead 1
into 1
is 3
jades 1
jail 1
join 1
keeps 1
kills 2
king 2
kingdoms 1
kings 3
lake 1
lastly 1
later 1
life 2
likewise 1
making 1
manages 1
meanwhile 1
meet 1
men 2
miles 1
more 1
mother 1
mycetes 6
naming 1
nearby 1
neighbouring 1
next 2
nomadic 1
not 1
now 2
of 16
oldest 1
on 2
one 1
only 1
onstage 1
opens 1
orders 2
out 1
overthrow 1
pampered 1
part 2
path 1
persepolis 1
persia 1
persian 3
personal 1
persuades 1
places 1
planning 1
play 1
pleads 1
plots 1
point 1
powerful 1
preferring 1
promise 1
promises 1
pull 1
quran 1
reaching 1
releasing 1
remainder 1
remained 1
remaining 1
reneges 1
return 1
revealing 1
risk 1
ruler 1
same 1
savagery 1
save 1
scene 2
scornfully 1
scraps 1
scythia 1
scythian 1
sets 1
shepherd 1
shifts 1
shoot 1
shown 1
side 2
soldiers 2
son 2
sons 2
spare 1
stay 1
struck 1
sultan 2
table 1
takes 1
tamburlaine 18
target 1
tent 1
than 1
that 2
the 32
then 2
this 2
throne 2
thrown 1
to 20
treasury 1
tributary 3
troops 1
turks 1
turns 1
twenty 1
upon 3
use 1
victorious 2
victory 1
wake 1
walls 1
wedding 1
what 1
when 1
where 2
which 1
wife 1
winning 1
with 2
women 1
wooing 1
wrath 1
ye 2
zabina 2
zenocrate 3
