27191336
/m/0bwm99s
/m/0bwm99s
Robert Westall
1981
a 8
across 1
actions 1
adoration 1
advance 1
an 3
and 13
appears 1
are 1
art 1
artist 1
as 5
at 6
atmosphere 1
attend 1
attitude 1
becomes 1
begs 1
betraying 1
blind 1
boarding 1
both 1
boy 1
bullying 1
but 3
by 5
call 2
chard 1
cheshire 1
clear 1
comes 1
conversation 1
conversations 2
dating 1
defeat 1
denigration 1
describes 1
devils 1
driven 1
during 1
england 1
enrages 1
entirely 1
event 1
experiences 1
face 1
fame 1
family 1
father 2
feelings 1
field 2
finally 1
first 2
for 2
friend 1
from 1
gallery 1
given 1
happiness 1
harbours 1
has 3
he 9
helps 1
her 2
him 4
his 12
home 1
house 1
imperceptibly 1
in 2
incense 1
increasingly 1
intends 1
intercepted 1
is 4
isolated 1
it 2
joe 5
join 1
la 1
lift 1
loathes 1
lover 1
making 1
man 1
manifest 1
marry 1
memories 1
memory 1
mill 2
miller 1
moreton 1
mother 5
murdered 1
must 1
narrative 1
neighboring 1
new 1
not 1
novel 1
nurtured 1
of 5
on 1
opens 1
overhears 2
own 1
point 1
poisonous 1
provides 1
rages 1
reality 1
refuge 1
refuses 1
regards 2
scarecrows 1
school 2
secret 1
sees 2
separated 1
she 1
sight 1
simon 9
sinister 1
sister 2
south 1
spirit 1
spirits 2
stay 1
story 1
support 1
tells 1
that 3
the 19
their 1
them 1
then 1
there 2
things 1
thirdperson 1
thoughts 1
threaten 1
to 9
tris 1
turnip 2
unimpressed 1
unused 1
up 1
vainly 1
view 1
war 1
was 1
water 1
wedding 1
when 3
where 1
which 2
wife 1
wood 1
yob 1
