3990770
/m/0bbd5_
/m/0bbd5_
John Passarella
2000-10-01
{"/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
actually 1
affected 1
all 1
an 2
and 11
anything 1
appear 1
are 1
arrives 2
at 4
axe 1
band 1
be 3
beat 1
because 1
bending 1
between 1
bronze 2
buffy 3
by 2
called 2
can 4
challenge 1
combat 1
day 1
decapitates 1
demon 2
discovered 2
do 1
does 1
during 1
especially 2
fight 1
figure 1
final 1
for 2
forms 1
four 2
from 1
fullblooded 1
gang 1
ghouls 1
giles 2
girls 1
group 1
halfway 1
he 5
help 1
here 1
him 1
himself 1
hinted 1
his 1
human 2
idiots 1
immune 1
in 4
into 1
is 11
it 3
just 1
later 1
like 1
looks 1
made 1
males 1
mark 1
men 1
need 1
new 1
nights 1
not 3
of 2
old 1
others 1
out 2
outside 1
physical 1
plays 1
prior 1
quite 1
rays 1
reassure 1
remarkably 1
rescue 1
research 1
same 1
seduce 1
seem 2
shift 1
slayer 2
slobbering 1
solitaire 4
straight 1
struggles 1
sun 2
sunlight 1
taken 1
that 4
the 12
their 2
them 4
they 1
through 1
time 1
to 10
town 2
turning 1
up 1
vampire 5
vampires 1
voice 1
vyxn 4
walk 1
walks 1
wants 1
what 1
when 1
who 2
why 1
will 2
with 3
would 1
xander 2
yet 1
