5367876
/m/0dhr5g
/m/0dhr5g
Ian Rankin
1996
a 4
across 1
after 1
album 1
allowing 1
allows 1
an 1
and 4
are 1
at 1
be 1
being 1
bleed 1
book 1
bridge 1
built 1
by 1
car 2
character 1
chase 1
chasing 1
con 1
crash 1
culminating 1
daughter 1
despair 1
detective 1
distant 1
doing 1
due 1
edinburgh 1
faces 1
forth 1
frank 1
government 1
he 2
highest 1
his 3
ill 1
implicates 1
in 3
injured 1
inspector 1
investigation 1
is 2
isolation 1
it 1
job 1
john 1
lauderdale 1
let 1
levels 1
light 1
losing 1
nature 1
new 1
of 3
off 1
or 1
over 1
people 1
politically 1
potentially 1
pursues 1
rankin 1
rebus 4
refers 1
relationship 1
respected 1
revealing 1
road 1
rolling 1
sammy 1
sensitive 1
show 1
start 1
stones 1
suicidal 1
suicide 1
supported 1
terminally 1
that 1
the 9
their 1
themselves 1
they 1
this 1
throwing 1
title 1
to 4
two 1
unconnected 1
upon 1
upset 1
what 1
with 2
worse 1
youths 1
