2758869
/m/0810xx
/m/0810xx
Thomas Mann
1903
170 1
1818 1
a 5
adulthood 2
also 1
an 5
and 4
are 1
around 1
artist 4
artistic 1
as 3
be 3
becomes 1
believe 1
both 2
bourgeois 1
child 1
comes 1
company 1
conflict 1
conflicting 1
continues 1
course 1
criminal 1
days 1
destined 1
diagnosed 1
die 1
earlier 1
entanglements 1
envious 1
erich 2
escaped 1
everyday 1
exile 1
experiences 1
family 1
famous 1
feelings 2
feels 1
follows 1
for 3
from 3
german 1
germany 1
give 1
goethes 1
grillparzers 1
had 1
has 1
he 4
heart 1
heller 2
him 1
his 7
hometown 1
in 4
infatuation 1
inherited 1
inner 1
innocent 1
insights 1
intellectualize 1
into 1
is 2
issues 1
it 1
italian 1
its 1
knew 1
krger 1
krgers 1
life 2
living 1
main 1
man 1
mann 1
merchant 1
mistaken 1
must 1
narrative 1
ndashwho 1
north 2
observed 1
of 7
one 1
only 1
outsider 1
own 1
partially 1
passionate 1
people 1
personallyndash 1
qualities 1
reality 1
reinforcing 1
relative 1
resolved 1
respectable 1
sappho 1
schoolboy 1
shape 1
sides 1
society 1
son 1
southern 1
superior 1
suspicion 1
tasso 1
terms 1
that 2
the 8
their 1
them 1
theme 2
there 1
thereby 1
these 1
this 1
thomas 1
to 11
tonio 6
torquato 1
travels 1
visit 1
vitality 1
was 1
when 2
while 1
who 1
with 1
writer 1
yet 1
youth 1
