10550530
/m/02qhk3b
/m/02qhk3b
Philip Kerr
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 3
across 1
against 1
aging 1
an 3
ancient 1
and 7
another 1
are 1
around 1
as 2
attempt 1
babylon 1
balance 1
been 1
before 1
being 1
bestselling 1
binding 1
bizarre 1
blue 1
book 1
brought 1
by 1
cast 1
children 1
chinese 1
created 1
curse 1
destiny 1
djinn 2
edward 1
emperor 1
evil 1
fate 1
father 2
force 1
four 1
friends 1
from 4
gaunt 3
globe 1
hangs 1
happening 1
has 2
hauntings 1
her 1
him 1
home 1
in 2
is 1
it 3
john 2
lamp 1
late 1
layla 2
make 1
mission 1
mother 2
museums 1
mysterious 1
notice 1
now 1
of 5
off 1
on 3
parents 1
philippa 2
possessing 1
put 1
race 1
rescue 2
robberies 2
save 3
series 1
soldiers 1
solve 1
something 1
spell 1
spirits 1
stop 1
strange 1
sure 1
terracotta 2
that 1
the 15
their 7
they 1
time 1
to 4
too 1
travel 1
trip 1
twins 4
unexplained 1
up 1
very 2
warriors 2
were 1
wicked 1
with 2
woken 1
world 3
worldwide 1
