4545547
/m/0c84s_
/m/0c84s_
Charles Berlitz


187 1
20th 1
31 1
8 1
a 3
acute 1
an 2
and 7
ararat 1
are 1
ark 1
as 1
asks 1
assyrian 1
astrologers 1
at 1
atlantis 3
aztectoltec 1
babylonian 1
become 1
been 1
before 1
berlitz 2
bible 1
book 2
books 1
by 2
century 1
changes 1
chapter 2
chibcha 1
chinese 1
cites 1
climate 1
commonly 1
continent 1
december 1
doomsday 2
effect 2
end 1
ended 1
environment 1
etc 1
expected 1
explores 1
famine 1
flood 2
floods 1
from 1
further 1
generally 1
goes 1
great 2
greek 1
greenhouse 1
has 1
have 1
he 5
his 2
hothouse 1
idea 2
in 6
indian 1
irish 1
is 1
jesus 1
later 1
lists 1
lithuanian 1
long 1
lost 2
many 2
may 1
maya 1
mentioning 1
mystery 1
noah 1
norse 1
now 1
of 6
others 1
overpopulation 1
persian 1
predicted 1
prophecies 1
prophets 1
records 1
referred 1
return 1
revealed 1
revisits 1
scientists 1
search 1
ship 1
starts 1
suggests 1
sumerian 1
tales 2
that 1
the 12
there 1
through 1
to 3
torah 1
tornadoes 1
welsh 1
when 1
where 1
whether 1
which 2
with 1
world 1
worsen 1
year 1
years 1
