13474927
/m/06vnyg9
/m/06vnyg9
Ann Martin


a 18
about 1
accident 1
adjust 1
after 1
also 1
although 1
always 2
and 28
anything 1
anyway 1
are 5
around 1
arrived 1
as 2
asked 1
back 1
bad 1
be 1
because 2
become 1
before 1
befriend 1
begin 1
being 1
book 2
both 3
broken 1
bus 1
but 6
by 1
called 2
camden 5
car 4
carols 1
center 1
chance 1
choice 1
christmas 2
clothes 1
comes 1
could 2
crash 1
crossed 1
dad 2
dance 2
davis 1
dearly 1
die 1
died 2
different 2
discover 1
downs 1
drunk 1
each 1
eight 1
even 1
evening 2
falls 5
family 2
fast 1
father 1
find 1
finish 1
flora 22
floras 1
for 5
found 1
friend 2
friends 2
frolic 1
frosty 1
full 2
fun 2
gets 1
gigi 1
girl 4
girls 1
given 1
gloom 1
go 2
good 2
got 2
grade 2
grandmother 5
guardian 1
had 7
has 1
have 1
her 11
holes 1
home 1
homework 1
hospital 1
houses 2
important 1
in 14
interests 1
into 2
is 10
it 2
january 2
last 1
lead 1
learn 1
leave 1
legal 1
life 1
like 1
likes 1
line 1
live 2
lived 1
lives 4
lonely 1
love 1
loves 3
made 1
mae 1
main 1
massachusetts 1
min 4
mindy 2
minute 1
mom 2
more 1
move 2
name 1
named 3
needle 1
new 1
nickname 1
nicknamed 1
nikki 3
no 1
northrop 3
nothing 1
novel 1
of 5
often 2
old 2
olivia 3
on 2
orphaned 1
other 2
out 3
over 2
own 1
parents 4
party 1
passed 1
passion 1
pizza 1
play 1
poor 1
put 1
quiet 2
read 2
real 1
really 1
reluctant 1
respectively 1
revolves 1
role 1
row 2
ruby 14
rubys 1
runs 1
said 3
same 2
say 1
school 1
sent 1
series 1
sew 1
sewing 1
she 9
sherman 2
shop 1
shouted 1
shy 1
side 1
sing 2
singing 1
sister 3
sisters 2
skipped 1
smell 1
snowy 1
so 3
something 2
spotlight 1
start 1
stitch 1
street 1
strip 1
tailoring 1
taken 1
ten 1
than 2
that 2
the 16
their 13
there 1
they 14
thread 1
through 1
thundered 1
to 18
together 1
too 1
town 2
traveling 1
troubles 1
truck 1
try 1
two 3
ups 1
very 5
walter 2
wanted 1
was 5
wear 1
welcome 2
welcoming 1
went 1
were 1
when 4
whenever 1
which 2
whilst 1
who 5
whom 1
whose 1
winter 1
with 9
wonderland 1
work 1
year 3
years 2
young 1
younger 2
