25003228
/m/09ggbvl
/m/09ggbvl
H. G. Wells
1907
{"/m/05h83": "Non-fiction"}
1 1
2 1
3 1
4 1
5 1
a 10
about 1
affordable 1
agree 1
all 2
although 1
always 1
america 1
an 3
and 25
angry 1
anxiety 1
appearance 1
are 5
argues 3
arises 1
as 5
ashamed 1
at 3
average 1
avoid 1
away 1
b 1
behind 1
belief 1
believes 1
book 1
boot 3
booting 1
boots 13
both 1
break 1
british 1
but 1
by 2
can 2
capacity 1
cattle 1
causing 2
change 2
chapter 1
chapters 1
charge 1
children 1
cites 1
citizens 1
claims 2
class 3
classifications 2
comfort 1
companies 1
complete 1
condemns 1
confess 1
conservative 1
constant 1
constantly 1
costs 1
courage 1
cracked 1
cure 1
curse 1
declares 1
decrepit 1
describes 1
discomfort 1
discuss 1
discussion 1
disfigure 1
dispute 1
distort 1
do 1
does 2
dont 1
effect 1
effects 1
element 1
end 1
ends 1
england 1
enterprise 2
enterprises 1
escape 1
ethnicity 1
every 1
evolution 1
example 1
exorbitant 2
expedition 4
explains 1
factors 1
factory 2
faith 1
feet 2
final 1
five 1
for 3
forseen 1
free 1
frequently 1
friend 5
from 4
further 1
gait 1
get 1
gives 1
giving 2
great 1
grew 1
guilt 1
had 1
have 5
he 8
heart 1
high 1
himself 1
his 5
history 1
house 1
human 1
hurt 1
hypothesizes 1
i 1
if 2
illfitting 1
illmanaged 1
in 5
inability 1
inevitably 1
instead 2
institution 1
intelligence 1
into 2
is 9
it 2
items 1
its 1
land 2
landowners 1
leather 2
leeches 1
liberal 1
lies 1
liken 1
lot 1
lower 1
made 1
majority 1
make 1
man 2
manage 1
mankind 2
manufacture 1
manufactured 1
many 1
material 1
materials 1
mean 1
means 2
men 3
miseries 1
misery 1
mismanagement 1
misshapen 2
move 1
much 1
must 3
my 1
narrative 1
natural 1
negative 1
neither 1
new 3
nor 2
not 4
nothing 1
obstructive 1
obtain 1
of 29
one 1
only 1
openly 1
opens 1
oppose 1
or 1
order 1
others 1
ought 1
our 1
out 1
over 1
owners 4
pain 1
painful 1
parasites 1
pay 3
people 2
permanent 1
permanently 1
persons 1
plenty 1
point 1
poor 4
poorly 1
possible 1
poverty 3
power 1
preventable 1
prevented 1
price 1
prices 2
pricing 1
private 2
profit 1
property 2
purchase 1
purpose 1
quality 4
railways 1
raised 1
raw 1
reach 1
ready 1
remains 1
rental 1
resources 1
responsible 1
revel 1
revolution 2
rise 1
run 1
says 1
second 1
separated 1
served 1
service 1
shabby 1
shipping 1
should 1
shown 1
side 1
simply 1
socialism 6
socialist 1
society 2
source 2
south 1
stage 1
stand 1
state 2
states 1
statesmen 1
stating 1
store 1
stress 1
success 1
such 1
suffers 1
superstructure 1
take 1
taking 1
that 11
the 63
their 2
them 3
there 1
these 2
they 3
things 1
think 1
this 5
thought 1
to 18
torment 1
transcends 1
transport 1
travel 1
trouble 1
troubles 2
two 2
unavoidable 1
unimaginative 1
universal 1
unseasoned 1
up 2
upon 2
urges 1
us 1
ventilated 1
viable 1
way 1
wear 1
wearer 1
wells 12
who 2
whose 1
with 4
woman 1
working 2
world 2
worn 3
worse 1
would 1
you 1
