2662109
/m/07w62r
/m/07w62r
Maia Wojciechowska
1964
12 1
3 1
a 24
about 1
after 2
agrees 1
all 3
allowing 1
also 1
always 1
an 1
and 9
annual 1
anyone 1
anything 1
apprenticeship 1
arcangel 3
are 2
arrives 1
as 3
ask 1
asked 1
at 2
attention 1
be 7
because 1
become 1
becomes 1
becoming 1
been 1
before 1
being 1
best 1
big 1
book 1
brother 2
bull 6
bullfight 3
bullfighter 7
bullfights 1
bulls 1
but 7
by 2
can 2
cant 2
casa 1
chance 2
cleaning 1
close 1
come 1
commotion 1
comparing 1
confident 1
conquer 1
contest 1
corrida 1
could 2
count 5
coward 2
daily 1
date 1
day 1
days 1
de 1
decides 1
decreasing 1
did 1
dies 1
discouraged 1
doctor 7
does 3
doesnt 1
dream 1
everyone 2
expect 1
expected 1
expecting 1
famous 2
father 10
fathers 1
favorite 1
fear 1
fears 1
fiesta 1
fight 2
fighter 1
finally 1
first 5
follow 3
footsteps 2
for 4
fought 1
friend 3
friends 1
friendship 1
from 3
get 2
give 1
gives 1
goes 1
good 2
gored 1
goring 2
great 1
had 1
has 4
have 6
he 22
heard 1
hearing 1
him 10
his 19
how 5
i 1
idea 1
if 2
important 1
in 11
injury 1
invited 1
is 11
it 5
jamie 1
juan 13
just 2
killed 2
killing 1
knew 2
know 2
knows 1
la 1
learn 1
left 1
like 3
live 2
mainly 1
manolo 26
many 1
matador 2
me 1
meets 1
men 1
met 1
monolo 4
monolos 2
more 3
moves 1
much 1
name 2
never 1
next 1
no 1
not 4
notices 1
of 10
offers 2
old 4
olivar 5
one 1
only 2
or 1
own 2
paid 1
party 1
passion 1
people 3
perform 1
place 1
practiced 1
practices 1
pretty 1
previously 1
problem 1
promises 1
province 1
reading 1
realizes 3
realizing 1
renowned 1
result 1
ring 3
secret 1
see 2
seeing 1
should 1
simply 1
six 1
so 2
son 2
sooner 1
soul 1
southern 1
spain 2
spains 1
speaks 1
spirit 1
sport 1
still 1
story 1
successful 1
suffers 1
takes 1
taking 1
tell 3
tells 2
tentena 1
that 11
the 37
their 1
there 1
thing 1
this 1
three 1
through 1
time 1
to 26
touch 1
town 3
townspeople 1
trains 1
truth 1
trying 2
twelve 1
twelveyearold 1
until 1
up 3
very 1
wants 5
was 6
watch 1
were 1
when 4
while 1
who 5
will 2
with 4
wont 1
work 1
would 5
wound 1
year 2
yearns 1
years 2
you 3
