523886
/m/02lc1_
/m/02lc1_
William Harvey


150 1
1553 1
157 1
1570 1
1602 1
1603 1
1616 1
1628 1
1660 1
540 1
72 1
a 9
ab 1
able 1
acquapendente 1
after 1
air 1
all 2
alnafis 1
along 1
also 1
always 1
amount 1
an 1
analyzable 1
and 13
answer 1
anticipations 1
arterial 1
arteries 2
arts 1
as 4
at 1
away 1
back 2
be 2
beat 1
beats 1
between 1
biology 1
blood 16
body 2
book 1
both 1
but 3
by 4
capilaries 1
capillary 1
careful 1
case 1
century 1
cesalpino 1
circle 1
circuit 1
circulation 8
clarity 1
classic 1
clearly 1
closed 1
come 1
complete 3
contributions 1
controversy 1
cordis 1
could 1
de 1
death 1
describing 1
discovery 2
doctrine 1
each 1
et 1
every 1
experimental 1
expressed 1
fabricius 1
faculties 1
famous 1
flow 1
flows 2
following 1
for 4
form 1
frog 1
from 4
galenists 1
go 1
goes 1
great 1
greatest 1
harvey 7
he 5
heart 9
hieronymus 1
hinder 1
his 2
hour 1
however 1
important 1
in 14
indicate 1
into 3
introduced 1
introduces 1
is 4
it 9
lacks 1
leave 1
lectures 1
lesser 1
like 2
lines 1
link 1
looked 1
lose 1
lung 1
lungs 1
made 1
makes 1
malpighi 1
marcello 1
measured 1
mechanical 1
mechanistic 1
medicine 1
methodology 1
michael 1
minute 1
missing 1
mixes 1
more 1
moreover 1
most 1
motion 1
motu 1
movement 2
moving 1
must 1
mystical 1
not 3
observed 1
of 19
one 2
oneway 1
or 1
oscillation 1
ounces 1
out 2
padua 1
partial 1
parts 1
per 1
physiology 1
pounds 1
presenting 1
proof 1
proposed 1
published 2
pulmonary 2
pump 1
quantitive 1
returning 1
returns 1
said 1
same 1
sanguinis 1
saw 1
seat 1
see 1
seems 1
sent 1
servetus 1
showing 1
so 1
spirit 1
stage 1
studied 1
study 1
subdivision 1
suggested 1
supplied 1
system 1
than 1
that 12
the 49
themselves 1
there 3
they 1
thirteenth 1
this 4
those 1
three 1
through 1
throws 1
thus 2
tiny 1
to 10
two 1
until 1
upon 1
valves 2
veins 4
vessels 1
view 1
was 7
way 1
were 1
when 1
where 1
which 5
with 4
work 3
years 1
