31597923
/m/0gmh15r
/m/0gmh15r
Greg Mortenson
2009
2003 1
a 2
afghanistan 1
after 1
and 4
area 1
areas 1
assisted 1
assists 1
author 1
azad 1
book 2
build 1
by 2
cai 3
charity 1
completed 1
controlled 1
corner 1
cups 1
describes 1
devastating 1
earthquake 1
earthquakeproof 1
efforts 4
establish 1
first 1
for 1
formulate 1
hit 1
how 1
in 6
into 1
kashmir 1
khan 2
late 1
later 1
left 1
military 1
mortenson 2
nonprofit 1
northeast 1
of 4
off 1
opens 1
organization 1
pakistan 1
picks 1
plans 1
region 3
relief 2
sarfraz 1
schools 5
setting 1
several 1
stones 1
strategic 1
taliban 1
tea 1
temporary 1
tent 1
the 12
then 1
three 1
thwarted 1
time 1
to 3
tracing 1
up 2
us 1
were 2
when 1
where 1
with 1
work 1
worked 1
