18252667
/m/04crq2n
/m/04crq2n
Ross Thomas

2 3
a 16
additional 1
address 1
adoption 1
afloat 1
after 1
agency 1
agent 1
aid 1
already 1
alternating 1
an 4
and 13
anything 1
apology 1
are 1
around 1
as 2
ascent 1
assignment 1
assistant 1
associates 1
at 1
attack 1
attempt 1
attention 1
back 1
backed 1
be 1
been 3
before 1
begin 1
being 1
best 1
better 1
boss 1
bribe 1
brother 1
budding 1
bungled 1
by 8
carol 1
cashiered 1
caused 1
cesspool 1
challenge 1
chapters 1
chief 1
childhood 1
china 1
chinese 1
city 3
clarence 1
coast 1
coerce 1
conflict 1
correspondent 1
corrupt 1
corrupting 1
current 1
danger 1
daughter 1
deals 1
decay 1
decided 1
depravity 1
died 1
dismissed 1
dive 1
draw 1
drugs 1
during 2
dye 9
eccentric 1
efforts 1
election 1
employers 1
enemy 1
exchange 1
expolice 1
exposed 1
exprostitute 1
fatherinlaw 1
fictional 1
first 1
flash 1
following 1
follows 1
for 2
former 1
freak 1
freshly 1
from 2
gambling 1
genius 1
gerald 1
get 2
giuseppe 1
gorman 1
gulf 1
had 2
hardly 1
has 2
having 1
he 1
head 1
heart 1
himself 1
hired 1
his 12
homer 1
hong 1
however 1
if 1
immediately 1
immodestly 1
in 8
independent 1
information 1
instead 1
intelligence 1
internment 1
is 8
its 2
jail 1
japanese 1
job 1
joe 1
just 1
katerine 1
kneedeep 1
kong 1
large 1
law 1
leadership 1
limelight 1
lucarelli 1
lucifer 1
lucky 1
lynch 1
madam 1
main 1
man 1
marriage 1
me 1
meteoric 1
mob 2
mongomery 1
much 1
murder 1
must 1
named 1
ne 1
necessary 1
needs 1
nevertheless 1
new 2
novel 1
of 16
offered 1
offices 1
official 1
on 3
operation 1
operative 2
orcutt 6
ordered 1
organization 1
orleans 2
other 1
out 2
past 1
places 1
polygraph 1
poobahs 1
power 1
practically 1
publication 1
question 1
ramsey 1
rape 1
recruit 1
recruitment 1
reform 2
refusing 1
released 1
representative 1
request 1
rest 1
right 1
romance 1
rotten 1
routine 1
russian 1
section 3
selfproclaimed 1
semidisgraced 1
set 1
settlement 1
shanghai 1
singapore 1
singaporean 1
slate 1
small 1
smalldane 1
spying 1
states 1
station 1
story 1
structure 1
subordinate 1
subsequent 1
suspicion 1
swankerton 4
tante 1
term 1
test 1
texas 1
thackerty 1
than 1
that 1
the 20
their 1
thentopical 1
therefore 1
they 1
things 1
threemonth 1
through 1
time 1
to 10
trying 1
urban 1
us 2
vice 1
vicker 3
victor 2
violent 1
war 1
ward 1
was 1
where 2
which 1
while 1
white 1
whom 1
whorehouse 1
whores 1
wife 1
with 3
worse 3
young 1
