29636571
/m/0fpjxxj
/m/0fpjxxj
Shaun Tan
2000
a 10
able 2
about 1
after 1
although 1
an 2
and 3
as 2
attempts 1
australia 1
be 1
beach 1
belonged 1
boiler 1
bottle 3
boy 3
business 1
but 1
by 2
card 1
city 1
collecting 2
collection 1
combination 1
continues 1
crab 1
creature 6
creatureand 1
day 1
discovers 1
due 1
dystopian 1
else 1
enjoys 1
everyone 1
find 2
follows 1
for 4
future 1
gives 1
he 6
him 1
his 2
in 2
indifference 1
industrial 1
is 7
it 2
its 1
land 1
life 1
looking 1
lost 4
melbourne 1
met 1
much 1
narrator 1
near 2
not 1
octopus 1
of 4
on 2
one 1
out 1
owner 2
place 1
realizes 1
really 1
referred 1
returns 1
say 1
searching 1
seems 1
set 1
sign 3
story 1
strange 1
that 1
the 14
there 1
thing 2
things 1
this 1
to 8
top 1
tops 2
unable 1
utopian 1
was 1
weird 1
where 1
whether 1
while 1
who 2
with 2
