5063891
/m/0d124_
/m/0d124_
Judy Blume
1977
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
140s 1
42 1
42nd 1
a 16
about 2
accepts 1
active 1
actually 2
admitted 1
adolf 1
after 2
age 2
all 2
always 1
and 14
andrea 3
another 2
anywhere 1
are 1
arrives 1
as 2
at 7
attack 1
attends 1
babies 1
back 2
bad 1
barbara 1
be 1
because 3
been 2
before 1
begins 2
being 1
believe 1
believes 1
black 2
brother 2
brothers 1
building 1
but 4
by 1
called 1
calm 1
can 1
candy 3
car 1
caught 1
central 1
class 1
clothes 1
cold 1
comes 1
contest 1
conversations 1
could 1
daughter 1
day 2
die 1
died 1
dies 1
different 2
difficult 1
discovers 2
disguise 1
does 1
dont 1
douglas 1
drinks 1
eggs 1
end 4
even 1
exactly 1
examination 1
family 4
father 2
finds 1
first 3
florida 2
for 1
force 1
freedman 2
friend 1
friends 2
from 2
get 1
gets 1
girl 3
goes 1
going 1
grader 1
grandmother 1
had 2
hair 1
happen 1
has 1
have 1
he 4
head 1
health 1
heart 1
her 16
him 2
his 2
hitler 2
hold 1
hornstein 1
how 1
ignores 1
ii 1
imagination 1
important 1
in 18
infant 1
infuriated 1
insulted 1
is 13
it 2
j 1
jackie 1
jersey 2
jewish 1
just 1
killed 1
kisses 1
later 1
latin 1
laws 1
learns 1
letters 1
like 2
line 1
listens 1
lives 1
look 1
looks 1
loses 1
lot 1
louse 1
lover 1
made 1
mails 1
make 1
makes 1
man 1
may 1
meets 5
members 1
miami 4
more 1
mother 3
move 1
moving 1
mr 5
mrs 1
must 1
named 1
nephritis 1
never 1
new 7
news 1
next 1
nits 1
not 2
notices 1
novel 1
nurse 2
of 6
offers 2
on 5
one 2
out 1
part 1
party 1
personally 2
peter 5
phone 1
physical 1
picked 1
plotline 1
point 1
poison 1
racial 1
racism 1
refuses 1
relationship 1
requiring 1
retiring 1
return 1
rock 1
sally 23
same 1
saying 2
school 7
secretly 1
seem 1
segregation 1
she 13
shelby 2
similar 1
sixth 1
so 1
someday 1
son 1
southern 1
spends 1
spies 1
states 1
staying 1
story 1
strengthens 1
superstition 1
superstitious 1
take 1
taking 1
teacher 1
teaches 1
than 1
that 6
the 25
their 3
them 1
there 1
they 1
things 1
this 2
though 1
threes 1
to 16
touches 1
train 2
traveling 2
tries 1
troubles 1
turned 1
two 1
undergo 1
understand 1
united 1
up 1
upset 2
very 1
visit 1
war 1
was 1
wedding 1
well 1
wellknown 1
wet 1
when 5
which 2
while 1
whisky 1
who 7
whom 1
why 1
will 1
with 3
woman 1
world 1
worried 1
worries 1
writes 1
year 2
young 1
youve 1
zavodsky 5
