1920138
/m/06659f
/m/06659f
Boris Strugatsky

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20 1
a 19
abandons 1
ability 1
abortive 1
about 1
access 1
accidentally 1
action 1
actions 2
actively 1
addition 1
adoration 1
adventures 1
affected 1
after 2
along 1
amateur 1
an 6
anarchy 1
and 31
annihilation 1
any 2
anyone 1
appalled 1
apparently 1
are 10
around 2
as 4
astonished 1
at 3
atrocities 1
attack 1
authors 1
aware 1
back 1
ballistic 1
barbarian 1
barely 1
battalion 1
be 2
because 2
become 1
befriending 1
between 1
blasts 1
blinding 1
boredom 1
branded 1
broadcast 6
broadcasts 11
brutal 1
but 2
by 16
camp 1
capabilities 1
capital 1
capture 2
captured 4
carefully 1
catches 1
caused 1
center 5
century 1
characters 1
charge 1
city 1
concentration 1
consequences 1
considered 1
consigned 1
constant 1
contact 2
control 10
conventional 1
country 1
coup 1
crime 1
critically 1
crusoe 1
cure 1
daily 2
day 1
defense 1
degenerates 1
degens 3
dependent 1
describe 1
describes 2
describing 1
description 1
desert 1
despite 1
destiny 1
destroy 2
destroyed 2
destroying 1
destroys 1
development 1
die 1
dire 1
disconnect 1
discovers 1
disdain 1
disease 1
disguised 1
documents 1
does 3
due 1
during 1
earth 2
effective 1
either 1
elite 1
empire 3
employ 1
end 1
enlisted 1
enthusiasm 1
escapes 1
establishing 1
evaluate 1
eventually 1
execute 1
executed 1
explorer 1
faces 1
fail 1
failure 1
famine 1
far 1
father 1
fathers 4
fellow 1
fight 1
fighters 1
finally 1
find 1
finding 1
finds 1
first 1
focuses 1
for 7
forward 1
free 1
friendly 1
friends 2
from 6
futile 1
gain 1
gaining 1
general 1
gets 2
give 1
glad 1
glamorous 1
go 1
goes 1
governed 1
gradually 1
grim 1
had 1
has 1
hatred 1
have 2
he 13
headache 1
help 1
hence 1
him 3
himself 3
his 12
horrible 1
however 4
human 1
humanoid 1
imagines 1
impossible 1
improve 1
in 16
incapacitate 1
induce 1
inducing 1
information 1
inhabited 2
inhospitable 1
initially 1
installations 1
instead 1
intense 4
interference 1
invasion 3
is 21
island 2
it 10
its 1
joins 1
kammerer 25
kept 1
killings 1
known 1
lambastes 1
landing 1
lands 1
landscape 1
lead 1
leadership 1
leads 1
leave 1
level 1
life 2
literally 1
local 1
looking 1
lot 1
loyalty 1
made 1
main 1
maintain 1
make 2
makes 1
making 1
mass 1
masterful 1
material 1
maxim 1
may 2
member 1
mental 1
mid20th 1
military 4
mind 5
mindaltering 1
minority 2
misery 1
missile 1
mission 1
mistake 1
more 1
most 1
mostly 1
movement 1
much 1
natives 2
neighbor 1
neighbors 1
network 1
north 2
not 8
novel 2
now 2
nuclear 2
observed 1
occupation 1
of 37
oligarchs 1
oligarchy 1
omnipresent 1
on 7
one 4
operation 1
or 3
ordinary 1
organize 1
organized 1
originate 1
other 1
out 2
outburst 1
outside 1
over 1
own 2
participates 1
pay 1
peeved 1
penal 1
penetrate 1
people 7
pepper 1
perish 1
perpetrates 1
perpetually 1
persecuted 1
personal 1
plan 3
planet 6
plays 1
plots 1
police 1
political 1
polluted 1
populace 1
population 6
power 5
predicament 1
preparing 1
primitive 1
prison 1
prisoner 1
privation 1
process 1
program 1
progressor 1
propaganda 2
protected 1
purpose 1
quite 1
race 1
rankandfile 1
rapturous 1
rash 1
reality 2
realizes 1
recently 1
refuses 2
regarded 1
regime 1
relatives 1
relieve 1
renegade 1
repression 1
required 1
resistance 2
retaliatory 1
revealed 3
revelation 1
rid 1
rivals 1
robinson 1
rudolf 1
ruined 1
ruling 1
same 1
saraksh 4
schemes 1
secret 1
seize 1
seizures 1
sense 1
sent 2
serious 1
seriously 1
several 1
shortages 1
shot 1
sikorski 1
similar 1
since 1
situation 3
smart 1
society 1
south 2
space 1
spaceship 1
stabilize 1
stage 1
starts 1
state 6
stays 1
still 2
story 1
stranded 1
strannik 6
stress 1
submarine 1
suffering 2
superiors 1
supposed 1
suppress 1
survives 1
susceptible 2
switches 1
system 2
take 2
technological 1
tells 1
than 1
that 10
the 106
their 3
them 1
themselves 1
then 1
these 1
they 5
this 5
thoughts 1
through 2
to 35
totalitarian 1
tower 1
towers 5
transmissions 1
tribes 1
tried 1
tries 2
truth 1
try 1
trying 1
turns 2
twice 1
unanticipated 1
unaware 1
underground 5
unexplored 1
united 1
unknown 2
up 1
upheavals 1
use 3
using 1
wanderer 1
wants 1
war 3
was 2
way 1
weapon 1
what 1
when 4
where 2
which 1
while 1
with 1
withdrawal 1
woman 1
work 1
worse 1
