15793842
/m/03nvg1f
/m/03nvg1f
Peter Bacho
1991-11

1 1
2 1
3 1
4 1
5 1
a 6
actions 1
albert 1
also 1
american 2
an 3
and 10
around 1
arrival 1
as 4
assistant 1
at 1
attacked 1
aunt 2
back 1
became 1
become 1
ben 10
best 1
body 1
both 2
burial 1
business 1
businesswoman 1
but 2
by 2
carlito 2
caught 1
cebu 2
character 1
childhood 1
city 1
clara 7
community 3
confused 1
country 1
culture 1
cycle 1
daughter 1
dies 1
discovery 1
during 2
duties 1
earned 1
ellen 2
embassy 1
encounters 1
escalating 1
ethically 1
experiences 2
father 2
feeling 1
fighters 1
filipino 3
finds 1
first 2
flight 1
follows 1
for 2
fortune 1
friend 2
friendship 1
from 2
guerilla 1
has 1
he 7
her 2
him 1
himself 1
his 10
history 2
home 1
homeland 1
how 3
immigrant 2
in 10
involve 1
is 4
it 1
japanese 1
killings 1
led 1
like 1
local 1
lucero 1
main 1
makes 1
manila 3
married 1
more 1
mother 6
moved 1
named 1
natividad 1
novel 2
of 7
on 1
outsider 1
own 2
part 5
people 1
personal 1
philippine 2
philippines 4
powerful 1
practices 1
priest 1
priestly 1
prologue 1
protest 1
questionable 1
remedios 3
rescued 1
resumption 1
return 1
returns 1
reunion 1
sacrifice 1
save 1
seattle 2
sees 1
series 1
she 1
soldiers 1
son 1
spends 1
states 2
stay 1
stays 1
story 1
such 1
takes 1
the 18
their 1
through 2
time 1
to 8
tradition 1
tries 1
trip 2
unnerved 1
up 1
us 1
violence 2
waits 1
war 2
wealthy 2
when 1
where 2
which 2
who 2
with 6
within 1
