15278931
/m/03m3yzs
/m/03m3yzs
Zarah Ghahramani
2007-12

a 1
after 2
almost 1
analysing 1
and 5
at 2
author 1
be 1
beaten 1
beatings 1
being 1
biography 1
but 1
by 1
demonstrations 1
desert 1
distant 1
driven 1
evin 1
executed 1
fate 1
fellow 1
focuses 1
for 1
from 1
ghahramani 2
her 3
imprisonment 1
in 4
infamous 1
into 1
is 2
kept 1
life 1
messages 1
month 1
not 2
of 4
on 1
one 1
only 2
or 2
outside 1
part 1
police 1
prison 4
prisoners 1
psychological 1
put 1
released 2
retaining 1
sanity 1
scratching 1
she 5
streets 1
student 1
subject 1
taken 1
taking 1
tehran 3
the 7
this 1
time 1
to 3
torture 1
tortured 1
university 1
unsure 1
via 1
was 4
when 1
where 2
whether 1
would 1
zarah 1
