4042722
/m/0bf382
/m/0bf382
Zoey Dean
2004-09-01
18th 1
a 14
abandoning 1
about 2
accused 1
acted 1
actors 1
actually 1
adam 8
after 3
again 1
agrees 1
all 1
alone 1
along 2
also 2
always 1
american 1
and 29
anna 18
announces 1
another 1
anyone 1
apologizes 1
appalled 1
are 3
as 2
assignment 1
associating 1
at 6
attitude 2
back 4
bad 1
be 6
beach 1
because 1
beck 1
becomes 1
bed 1
been 3
begins 1
behavior 1
behind 1
ben 5
between 1
big 1
birthday 1
bluestone 1
bmw 1
boards 1
boyfriend 1
busy 1
but 5
by 6
call 1
cammie 13
cant 2
cards 1
career 1
charming 1
chemistry 1
choices 1
clark 4
clear 1
client 1
coexecutive 1
collaborated 1
come 1
comes 1
comfort 1
concert 1
consequences 1
considers 1
covering 1
crashing 1
credit 1
culprit 2
danny 3
date 2
daughter 1
day 1
debit 1
decides 1
declines 1
dee 3
denied 1
deserted 1
despite 1
died 1
dismay 1
displeasure 1
django 1
do 1
does 1
doesnt 1
down 2
dreams 1
driver 1
dropping 1
drunk 1
early 1
else 1
enamored 1
end 1
enjoying 1
enraged 1
erratic 1
even 2
explain 1
face 1
family 1
farewell 1
father 1
favor 1
feel 1
feelings 1
feels 1
find 1
finding 1
finish 1
fire 1
fires 1
flood 1
follows 1
for 7
forbids 1
fourteenyear 1
friendly 1
friends 1
from 3
frustrated 1
further 1
get 1
girl 1
gives 1
go 5
going 3
goodbye 1
great 1
had 1
halfheartedly 1
has 2
hates 1
have 1
he 9
help 1
her 30
hermosa 1
him 3
his 4
hit 1
home 3
horrified 1
how 1
however 2
hung 1
in 9
increasing 1
increasingly 1
information 2
informs 1
initially 1
inn 1
instincts 1
interest 1
interested 1
intern 1
internship 1
interrupted 2
intervenes 1
intimate 1
invited 1
inviting 1
is 16
it 1
jealous 1
job 1
jonathan 1
justice 1
keep 1
kick 1
kiss 1
kisses 1
knows 1
latest 1
leaked 1
leaking 1
leaves 1
like 1
longer 1
lose 1
lot 1
makes 1
making 1
margaret 1
meantime 1
meanwhile 2
meets 1
mentions 2
mia 10
mistake 1
mo 1
mom 1
montecinto 1
morning 1
moving 1
much 1
must 3
name 1
new 1
next 2
no 1
nonchalantly 1
not 4
novel 2
of 7
offers 1
office 1
old 1
on 3
or 1
order 1
organizes 1
out 2
over 1
own 1
park 1
party 5
percy 1
plan 1
plane 1
planner 1
plot 1
plots 1
politely 1
press 1
princeton 2
producer 1
protective 1
punished 1
quiet 1
rapper 1
rave 1
realize 1
rebound 1
refuses 1
rehab 2
relationship 2
reminds 1
rescuer 1
returns 1
reveals 2
rushing 1
sabotage 1
sadly 1
sam 6
say 1
says 1
school 1
secretive 1
seems 1
seen 1
selfdestructive 1
sensitive 1
she 9
sheppard 1
shopping 1
should 1
show 1
showing 1
shows 1
side 1
since 1
sister 1
slow 1
so 3
somewhat 1
soon 1
steinberg 1
stepmother 1
stevie 1
still 2
story 1
studies 1
stupid 1
subtly 1
surprised 2
surprises 1
susan 3
sweet 1
tags 1
take 1
takes 2
tells 2
terms 1
thanks 1
that 10
the 29
their 3
them 1
then 1
they 2
though 2
three 1
throws 1
to 34
too 1
towards 1
towed 1
tries 2
true 2
try 1
tv 1
two 4
unacceptable 1
unfamiliar 1
up 2
valley 1
voice 1
wants 1
was 2
well 1
what 1
when 6
which 1
while 2
who 6
will 2
wished 1
with 6
work 2
worried 1
worry 1
worse 1
writing 1
young 1
