25347351
/m/09gqp1l
/m/09gqp1l
Paul Zindel
1977
a 16
about 2
age 1
all 1
also 4
always 1
an 1
and 16
anyone 1
appears 1
as 8
asking 1
assignment 3
assignments 1
at 2
aware 1
back 1
bathroom 1
be 1
beat 1
became 1
become 2
befriends 1
begin 1
behind 2
believing 1
belonged 1
between 3
body 1
bonda 1
both 1
bottle 2
boy 1
boyd 1
buffer 1
bus 2
but 2
buy 1
by 2
care 2
carmelita 2
challenges 1
cherish 1
chesterfield 1
child 2
chris 19
cleaning 1
clients 1
coat 3
common 1
confidence 1
confident 1
confrontations 1
course 1
death 1
defends 1
dementia 1
described 1
develop 2
difficult 2
dipardi 4
dont 1
dying 1
each 1
ends 1
enough 2
even 1
exist 1
expected 1
family 1
father 4
feeling 1
fifteen 1
finds 1
for 5
from 4
going 1
goods 1
grow 1
harddrinking 1
harold 3
has 6
have 2
he 6
health 1
held 1
helen 9
helped 1
helps 2
her 2
him 2
hired 1
his 12
home 1
hopes 1
house 1
household 1
immediately 1
in 3
insecurities 1
intentionally 1
into 2
introverted 1
is 4
issues 1
it 4
items 1
later 2
learn 1
learns 1
leaves 1
left 2
life 2
likewise 1
literally 1
livein 1
lloyd 14
longer 1
loss 1
making 1
manifests 1
many 1
matter 1
mexico 1
mile 1
milk 2
more 1
most 1
mother 6
mothers 1
move 2
moving 1
muscles 1
need 1
newspaper 1
no 2
nonetheless 1
nothing 1
nurse 1
of 10
off 1
often 1
old 1
on 4
once 1
one 1
only 1
other 2
out 2
over 2
own 5
partying 1
past 1
peer 1
physique 1
picture 1
point 2
pops 1
practical 1
private 1
radius 1
rather 1
recent 1
regimen 1
relationship 2
relic 1
residence 1
retrieve 1
returns 1
runs 1
sadness 1
saying 1
serves 1
share 1
short 1
shredded 1
similar 1
smash 1
someday 1
son 1
soon 1
stand 1
story 1
such 1
suffer 1
sympathizes 2
takes 1
ten 1
tense 1
that 4
the 20
their 2
them 1
then 2
there 2
they 2
thirty 1
this 1
time 1
to 18
told 1
trench 2
turning 1
understands 1
up 2
urinate 1
use 1
view 1
was 2
well 1
what 3
when 1
where 1
which 1
while 1
who 2
will 1
with 6
within 1
without 1
workout 1
works 1
years 1
young 1
