30291999
/m/0g5t4qk
/m/0g5t4qk
Ben Bova

{"/m/06n90": "Science Fiction"}
a 16
able 1
accompany 1
achilles 6
acts 1
actually 1
addition 1
adopts 1
adventures 1
after 1
again 2
against 2
agamemnon 3
agree 1
agreement 1
ajax 1
all 1
also 2
an 3
and 22
anya 1
apollo 5
apologizes 1
appears 1
are 3
arrival 1
arrived 1
arriving 1
arrow 1
as 8
asks 1
assist 1
assists 1
assured 1
attack 1
attention 1
back 3
band 1
bandits 1
barbaric 1
battle 3
be 6
because 2
becomes 1
been 3
before 1
beginning 1
being 2
believes 1
blaming 1
blind 1
board 1
book 1
bris 1
brother 1
brought 1
building 1
built 1
but 2
by 10
called 1
camp 3
capture 1
captured 1
changes 1
chief 1
city 2
civilly 1
coming 1
commits 1
continues 1
copy 1
counter 1
courageous 1
course 1
create 1
creators 1
crown 1
cutting 1
dead 1
decided 1
decides 3
defeating 1
defeats 1
defense 1
demand 1
demands 1
destruction 1
dies 1
discover 1
discovers 1
disintegrated 1
dissatisfaction 1
duty 1
earlier 3
earn 1
egypt 4
elevating 1
empire 2
enable 1
encounters 1
ends 3
enter 2
epilogue 1
era 2
euroasian 1
exploded 1
faces 1
favor 1
finds 1
first 1
follow 1
for 4
fray 1
friends 1
from 3
fun 1
go 1
god 2
going 2
golden 2
gone 1
goods 1
greek 4
greeks 2
ground 1
group 1
had 4
half 1
has 4
hatti 2
hattis 4
have 1
having 1
he 19
head 1
headed 1
heart 1
hector 1
heel 1
helen 2
help 2
her 1
herald 1
heralds 1
hetepamon 2
high 2
him 12
himself 2
his 14
household 1
however 4
impossibility 1
in 11
insists 1
instructs 1
insulting 1
intention 1
interfere 1
into 2
intrigues 1
involved 1
is 12
israelites 1
jericho 1
kidnapped 1
kill 1
killed 2
killing 1
king 2
kisses 1
last 1
later 2
leads 1
leave 1
led 1
life 1
little 2
loses 1
lukka 2
mad 1
make 1
makes 1
man 2
meant 1
meets 1
member 1
men 1
menelaus 2
might 1
mighty 1
mission 1
more 1
nekoptah 5
neolithic 1
nestor 1
news 1
not 1
nothing 1
notices 1
novel 1
odysseus 3
of 19
off 2
offer 2
old 1
on 7
one 4
only 3
orion 12
other 1
others 1
over 1
overrun 1
palace 1
partner 1
patrocles 1
peace 1
persuade 1
pharaoh 1
piercing 1
plans 3
point 1
poisoning 1
poletes 3
power 1
previous 1
priest 1
prince 1
prompted 1
ramp 1
raze 1
reentering 1
refusal 1
rejected 1
remembers 1
requests 1
return 2
revealing 1
saving 1
section 2
seeing 1
sees 1
send 1
sensing 1
sent 1
servant 1
set 2
shared 1
she 3
ship 3
so 2
soldiers 2
sparta 1
spear 1
spoils 1
stabbed 1
stars 1
station 1
still 1
stray 1
succeeding 1
suggests 1
suicide 1
tables 1
taken 1
takes 1
taking 1
talkative 1
team 1
tent 1
than 1
that 6
the 54
their 5
then 12
there 2
thereby 1
thetes 1
this 8
through 1
thus 1
thwart 1
time 1
to 40
told 1
toppling 1
treated 1
tries 2
trojan 1
trojans 5
troy 3
trying 1
turn 1
twin 1
up 6
upon 1
upsets 2
uses 1
usurping 1
via 1
victorious 1
wakes 2
wall 2
walls 1
war 1
warning 1
was 2
way 2
weak 1
were 1
western 2
whatever 1
when 3
where 1
which 2
while 2
who 8
whom 1
wife 1
will 1
win 1
with 12
withdraw 1
withdrawn 1
worshiped 1
would 1
wounded 1
