2145658
/m/06q3r2
/m/06q3r2
Gregory Mcdonald
1985-09-19
5 1
a 6
about 1
an 2
and 2
announce 1
around 1
as 1
at 1
been 2
but 1
cause 1
charged 1
circumstances 1
continues 1
crooked 1
dead 1
different 1
does 1
dollars 1
donald 1
during 1
editor 1
effectively 1
employee 1
especially 1
experienced 1
firm 1
firms 1
fletch 7
for 4
frank 3
give 1
gives 1
giving 1
habeck 3
has 2
he 3
his 2
however 1
in 2
interview 1
investigating 1
is 7
it 1
junior 1
lawyer 2
legal 1
local 2
losing 1
lot 1
mighty 1
million 1
more 1
most 1
moves 1
museum 1
new 1
newspaper 1
newstribune 2
not 1
now 1
of 4
off 1
on 1
once 1
one 1
only 1
order 1
paper 1
parking 1
prequel 1
reporter 2
requests 1
respect 1
run 1
section 1
seem 1
short 1
starts 1
story 3
suspect 1
suspicious 1
takes 1
than 1
that 2
the 11
time 1
to 8
trouble 1
turns 1
unsurprisingly 1
up 2
what 1
when 2
which 1
who 2
whorehousewhich 1
with 2
worked 1
years 1
