1015693
/m/03zfhy
/m/03zfhy
Clive Barker
1991
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
200 5
a 60
ability 1
able 7
about 5
accompanies 1
across 6
actually 1
admit 1
after 14
afterwards 1
again 2
ago 1
ahead 1
alerting 1
alive 2
all 5
allegiance 1
allowing 1
almost 2
along 1
already 1
also 6
although 2
amazingly 1
among 3
an 6
ancestors 1
and 115
angry 1
another 4
any 1
apartment 1
aping 4
appearance 2
appears 2
are 13
arises 1
arms 1
around 1
arrive 5
arrives 6
arriving 1
artist 3
artori 1
as 24
asks 2
assassin 3
at 14
athanasius 5
attack 3
attacked 1
attacking 1
attacks 3
attempt 4
attempted 1
attempts 1
autarch 14
away 2
back 9
banned 1
basement 1
battle 3
be 7
became 3
become 1
becomes 5
becoming 2
been 4
before 8
befriends 2
begins 2
behind 1
being 11
believing 1
below 1
between 3
beyond 1
birth 1
blinding 1
blue 1
bodies 1
body 4
book 3
border 1
bore 2
bound 2
break 1
breaking 1
breaks 1
bring 3
brother 1
brought 2
burned 1
but 15
by 22
cafe 1
called 1
calls 1
camp 3
can 1
captures 1
carry 1
cast 1
catches 1
caught 1
caused 1
causes 1
celestine 12
ceremony 3
change 1
changed 1
chaos 1
charlie 1
chases 2
chicka 3
chika 1
child 3
chooses 1
circle 6
city 2
clara 2
clem 5
clock 1
cloud 1
cobbitt 1
collapse 1
colleagues 1
come 4
comes 4
coming 2
command 1
commandant 1
companion 2
completed 1
completing 1
conflict 1
confronted 1
confronts 1
conquer 1
contacts 1
containing 1
continuously 1
control 1
convene 1
conversations 1
convince 5
convinced 2
convinces 2
convincing 1
council 1
coupling 1
cover 1
cradle 3
create 1
created 2
creature 2
creatures 1
daughter 2
day 1
days 1
dead 3
dearther 2
decide 1
decides 3
defeats 2
defend 1
demands 1
deserted 2
despite 1
destroyed 1
destroys 1
destruction 1
determined 1
did 1
die 1
dies 2
discovers 1
discuss 1
disguises 1
distorted 1
distrusting 1
do 3
dominion 18
dominions 12
dont 1
doorway 1
doppelganger 1
doubt 1
dowd 17
down 1
drawing 1
drowns 1
drunk 1
during 4
dying 1
each 1
earlier 1
earth 6
ease 5
eating 1
effort 1
either 1
else 1
enamored 1
encounter 3
encountered 1
encounters 2
end 1
ends 4
enemy 1
england 1
enlists 1
enters 1
entire 2
entourage 1
entrapped 1
erasure 4
escape 4
escapes 1
estabrook 8
estranged 1
eurhetemec 2
event 2
events 2
eventually 5
every 1
everyone 2
except 1
exchange 1
experience 2
explains 1
explanation 1
exterior 1
eyes 1
face 1
fact 2
failed 3
fails 1
fall 1
familiar 2
family 1
father 3
feelings 1
feit 1
fellow 2
felt 1
fifth 5
fight 2
fights 1
final 2
finally 2
find 7
finds 2
fire 2
first 8
flame 1
flee 2
fleeing 1
flees 3
flooded 1
follow 1
follower 1
follows 1
for 9
form 1
former 3
forward 1
found 2
four 1
fourth 4
free 1
freeing 2
frees 1
frequently 1
friend 2
from 19
front 1
frozen 3
furie 1
gamut 3
gate 2
general 1
generals 1
gentle 84
get 4
getting 2
giant 1
gigantic 1
give 1
gives 1
go 7
god 1
goddesses 5
godolphin 16
goes 2
going 3
good 1
got 1
group 5
grows 1
had 4
hapexamendios 12
happened 1
hard 1
harming 1
has 12
have 2
having 4
he 31
head 13
heads 7
healed 2
health 1
held 1
help 4
helped 1
helping 1
helps 1
her 29
here 1
heroes 1
him 29
himself 6
hiring 2
his 28
homeless 2
hoped 1
horrified 1
horror 1
house 9
however 2
human 1
hundreds 3
huzzah 10
identical 1
if 1
illusion 1
imajica 10
impregnated 1
in 44
include 1
includes 1
including 1
infinitely 1
information 1
initially 2
instead 4
instructed 1
intent 1
intentions 1
interfere 1
interferes 1
into 12
invades 1
investigate 1
is 48
it 11
its 4
itself 1
jackeen 5
john 1
join 1
joining 1
jokalaylau 1
joshua 3
journey 1
judith 48
jumping 1
just 4
keeps 1
kept 1
kesperate 1
kesperatedistrict 1
kidnaps 1
kill 9
killed 12
kills 3
klein 1
know 1
known 3
lake 3
large 3
last 2
later 6
lead 1
leader 1
leading 2
learn 2
learns 1
leash 1
leave 5
leaves 3
leaving 2
led 2
left 2
let 2
lets 2
life 2
like 4
liquid 1
little 5
living 3
locales 1
locals 1
location 1
long 1
looks 2
lord 1
lose 1
love 2
lover 2
lucius 2
made 1
maestro 3
maestros 1
magic 1
magnificent 1
make 3
makes 4
making 1
man 7
manages 1
many 1
map 2
married 1
master 1
may 1
meanwhile 10
meet 4
meets 4
member 2
memories 4
memory 1
merchant 1
message 2
met 2
midnight 1
mind 3
minions 2
misshapen 1
moments 1
monday 8
months 1
monument 1
more 1
mortally 1
most 1
mostly 1
mountains 1
moved 1
much 1
mummified 1
murder 1
murders 1
must 1
mysterious 1
named 5
names 1
nashap 2
near 3
nearby 1
never 2
new 1
night 2
not 5
novel 1
now 4
nullianac 4
nursed 1
obsessed 1
occurring 1
of 69
off 2
old 2
on 16
once 4
one 7
ones 1
only 1
opens 1
opportunity 1
or 3
ordered 1
origin 1
original 1
originally 1
oscar 7
other 3
others 3
our 1
out 8
outside 2
over 1
overthrown 1
ovo 3
paintings 1
palace 9
particularly 1
parts 1
pass 1
passage 1
passing 1
past 1
peccable 2
people 2
performing 1
permission 1
pie 35
pieces 1
pieohpah 3
pivot 5
place 2
places 1
pneuma 2
point 1
possible 1
power 2
prevent 1
prison 5
prisoner 2
process 1
promontory 1
property 1
protect 1
protective 1
pulls 1
put 1
quaisoir 9
queen 2
raped 1
rasa 7
raw 3
real 2
reality 1
realize 1
realizes 1
really 2
rebellion 1
rebellions 1
rebels 3
recent 1
reconcile 2
reconciled 4
reconciliation 14
recover 1
referred 1
refuses 1
regarding 1
regret 1
relationship 1
released 1
releases 1
religion 1
reluctantly 1
remain 1
remained 1
remembered 1
reopened 1
replica 5
replicated 1
replicating 1
rest 1
restored 1
resulted 1
retreat 3
retrieve 1
return 9
returned 2
returning 1
returns 6
reunited 5
reveal 1
revealed 3
reveals 4
revives 1
right 1
rightful 1
rise 1
rite 1
room 1
roxborough 6
ruins 1
ruler 1
rumors 1
rushes 1
same 1
sartori 21
saves 1
saying 2
scarred 1
scopique 7
seal 1
search 1
searching 1
second 8
security 1
see 11
seemingly 1
seems 1
sees 3
send 2
sends 2
senses 1
sent 1
severely 2
sex 2
shapeshifting 1
she 16
shine 1
shocked 1
shortly 1
should 2
shoved 1
show 1
simply 1
sky 1
sleeps 1
slices 1
slowly 1
sneaks 1
solid 1
some 6
soon 4
sort 1
souls 1
speaking 2
species 1
spell 1
spirit 3
split 1
spoils 1
stabbing 2
start 2
starts 4
stay 1
steal 1
still 6
stone 2
stones 2
stop 1
strange 1
street 3
strikes 1
successfully 1
summoned 1
sun 1
sunlight 1
sure 1
surface 1
surprisingly 1
swears 1
tabula 7
tags 1
take 1
taken 1
takes 1
taking 1
talking 1
tampered 1
tampers 1
tell 1
tells 7
that 43
the 225
their 6
them 13
themselves 2
then 8
there 7
they 20
theyre 1
thing 1
think 1
thinking 1
thinks 2
third 4
this 3
those 4
threat 1
through 8
throughout 1
throwing 1
tick 3
tightens 1
time 4
tishallul 1
to 149
told 1
top 1
towards 1
tower 8
transference 1
trapped 1
travel 1
traveling 1
travels 1
tremendously 1
trial 1
tried 1
tries 4
true 1
truth 1
try 2
tryst 1
turn 1
two 6
uma 1
umagammagi 1
unaware 1
unless 1
until 4
up 11
upon 2
upset 2
use 1
used 4
uses 1
using 2
vanaeph 1
vaporized 1
various 1
village 1
vision 3
visions 2
visits 1
wall 1
wants 2
was 15
wasteland 1
watch 1
waters 2
waves 1
way 6
we 1
wed 1
weeks 1
well 5
went 1
were 3
weve 1
what 3
when 18
where 12
whether 2
which 5
while 8
who 25
whom 1
whose 1
why 1
wife 1
will 3
with 47
witnesses 3
woman 3
women 2
