16575287
/m/03ych3d
/m/03ych3d
Richard Kelly

1 1
100000 2
102 1
2 1
2005 1
2008 8
225 1
27 1
3 1
30 2
4 1
4th 1
50000 1
6 1
a 84
abandon 1
abandoned 1
abilene 2
abilities 1
about 10
across 3
act 1
action 2
actor 2
administered 1
advantage 1
advisor 1
affair 1
after 3
afterward 1
again 2
against 1
agent 1
agrees 1
airbase 1
all 7
alone 1
along 1
also 2
am 1
american 1
amnesia 4
an 11
and 99
angeles 4
another 1
answers 1
antennas 1
antichrist 1
any 1
anything 2
apocalypse 1
apparently 2
appears 1
approaches 1
are 17
area 1
armedmen 1
army 1
around 2
arrive 3
as 6
asking 1
asks 12
assimilated 1
assistant 1
associating 1
astrophysics 1
at 19
attackedwhich 1
attendance 1
attending 1
away 1
back 4
bad 1
balducci 2
balduccis 1
ball 2
bang 1
bank 1
bar 2
barn 1
barnyard 1
baron 2
barons 1
bathroom 2
be 7
beach 1
beaches 1
became 3
because 4
become 1
becomes 1
been 1
before 4
began 1
begin 3
begins 10
behind 2
being 1
believe 2
believing 1
belonging 2
below 1
best 1
between 1
big 2
bills 6
bing 1
bleeder 2
bleeders 2
bleednot 1
board 1
boat 1
bobby 1
body 3
book 3
booked 1
bookies 3
border 4
both 3
boxer 57
boxers 3
brand 1
brandt 1
breakfast 1
bribe 1
bring 2
brings 1
broken 1
brother 4
brotherroland 1
buffalo 6
building 1
buried 2
burnedup 1
burntup 1
but 12
buy 1
by 9
call 3
called 5
calls 4
camera 1
campaign 1
can 3
cant 1
car 1
career 1
carmichaels 2
caused 1
certain 1
chair 1
chance 1
chances 1
changes 1
character 5
charge 1
charity 1
chase 1
check 2
cheer 1
chemical 2
cheri 1
chief 1
classical 1
clue 1
coaster 3
colleagues 2
comedy 1
comes 1
conditionplay 1
conducting 1
confused 1
connection 1
conscious 1
conspiracy 1
contact 2
contract 3
conversation 1
convinced 1
convincing 1
cop 1
copy 1
cornered 1
corpse 2
cousin 1
cover 1
cox 1
crazy 1
create 1
created 2
cross 1
crowd 1
current 1
currently 1
cut 2
dancer 1
date 1
daughter 1
dawn 1
day 2
days 5
daysthree 1
dead 2
deadand 1
death 1
debt 1
deck 1
deena 1
deliver 1
dementia 1
describe 1
desert 7
destroy 1
detail 1
detective 1
die 1
died 1
dies 1
dimension 1
dion 5
directing 1
disappearance 1
discussing 1
dispute 1
diverge 1
do 4
document 1
dodo 1
doesnt 5
doing 1
done 2
donethe 1
dont 1
down 1
drafted 2
draw 1
dream 14
dreaming 1
drive 1
drives 1
driving 1
drop 2
dropthe 1
drug 2
dubbed 1
due 2
during 2
dwayne 1
each 2
earth 1
effectively 1
election 2
eliot 1
elliotfrost 1
end 2
ended 1
ends 1
energy 1
enters 1
entire 2
evening 1
ever 1
everyone 1
everything 1
exit 1
expect 1
expected 1
expeditiously 1
experienced 1
experiment 5
explain 1
explains 1
explodes 1
exprofootball 1
face 1
facilitate 1
facility 2
faints 1
falls 2
famous 2
fan 1
father 4
favour 1
fed 1
feel 1
fellow 1
