17612827
/m/0463cs_
/m/0463cs_
Ernst Jünger

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 19
able 1
about 1
academy 1
accepts 1
adapt 1
advanced 1
after 1
ambition 1
an 1
and 12
announces 1
appears 1
are 1
as 4
aside 1
asides 1
asks 2
at 4
atje 4
attend 1
attention 1
autobiographical 1
awaiting 1
beat 2
beaten 1
beating 1
been 1
bees 5
begins 2
between 1
beware 1
binoculars 1
bleeding 1
boy 1
boys 1
briefly 1
builds 1
but 1
buys 1
by 7
calling 1
cannot 1
captain 1
care 1
caring 1
catch 1
cavalry 1
cavalryman 1
change 1
chief 1
childhood 1
company 1
comrade 2
comrades 1
considers 1
construction 1
contacting 1
contortions 1
contrasts 1
conversation 1
could 1
course 1
creations 1
day 1
days 2
death 1
defeatist 1
demise 1
deserts 1
different 1
dinner 1
discovers 1
discrimination 1
discussion 1
dress 1
driven 1
ears 2
easily 1
efficient 1
either 1
elderly 1
encounters 1
engineers 1
entirely 1
entrance 1
essayistic 1
evaluations 1
events 1
exemplifies 1
failed 1
familiar 1
fate 1
father 1
feet 1
figures 1
filled 1
fillmor 2
fillmors 1
finally 2
find 1
finds 1
firm 2
first 2
flashbacks 1
flee 1
for 7
forcing 1
forget 1
former 3
fortune 1
frame 1
from 2
further 1
gang 3
garden 4
gathering 1
giacomo 1
glass 1
go 1
ground 1
guidance 1
had 1
hanebut 1
has 4
he 8
high 1
him 6
his 15
historic 1
home 2
house 1
how 3
humanoid 1
imagination 1
in 9
inclinations 1
inspector 1
instructor 1
intelligence 1
interview 1
into 1
inward 1
is 6
job 2
lack 1
lacks 1
latent 1
later 1
leaving 1
lorenz 4
made 1
magnitude 1
makes 1
man 2
many 2
marvels 1
master 1
matters 1
mechanized 1
member 1
memoir 1
military 1
modern 1
modest 1
monteron 1
moral 1
morally 1
more 3
much 1
namely 2
narrates 1
narrative 2
nectar 1
needs 1
negative 1
neighborhood 1
nervously 1
new 1
nose 1
nostalgically 1
notices 2
now 1
observes 1
occasionally 1
of 16
offered 1
offering 1
offers 1
officer 1
old 1
oldfashioned 1
on 2
once 1
one 2
opinion 1
other 1
out 2
outlines 1
outofwork 1
outsider 1
over 1
own 1
pace 1
pair 1
point 1
police 1
pond 1
position 1
power 1
powerful 1
predicament 1
present 1
problem 1
prominently 1
prompted 1
prompts 1
protect 1
question 1
questionable 1
quickly 1
real 1
realizes 1
recounting 1
red 1
reflect 1
reflection 1
refused 1
reluctant 1
remarking 1
reminiscence 1
requiring 1
respond 1
retaliation 1
reveals 1
richard 27
rival 2
robotic 1
robotics 1
robots 2
ruminations 1
savagely 1
secrets 1
selfcontradictions 1
senses 1
severed 2
sharp 1
so 1
social 2
sophisticated 1
spurs 1
stop 1
strangely 1
strict 1
success 1
successful 1
suggests 1
suicide 1
superiors 1
supplanted 1
surprises 1
tactical 1
take 1
tank 1
technological 1
tension 1
teresa 1
territory 1
test 1
than 2
that 5
the 27
their 2
them 2
then 4
there 1
these 1
they 2
this 3
those 1
through 1
time 1
to 15
totally 1
tries 1
turn 1
twinnings 3
two 1
under 2
unfortunately 1
unlike 1
unsure 1
upon 1
vast 1
vertiginous 1
wait 1
war 1
warfare 1
warning 1
watches 1
watching 1
way 1
were 1
when 2
which 3
while 1
who 4
whose 1
with 5
worldly 1
yet 3
zapparoni 12
zapparonis 1
