18412442
/m/04f0tc8
/m/04f0tc8
Andy Serkis
2003-12-22
{"/m/016chh": "Memoir"}
a 4
academy 1
act 1
also 1
an 1
and 2
andy 2
as 3
award 1
been 1
book 1
breathe 1
cat 1
cgi 1
challenging 1
character 1
commission 1
commitment 1
conception 1
controversy 1
cough 1
coughing 1
creation 1
derived 1
details 1
discusses 1
eligible 1
fiveyear 1
for 4
from 1
gollum 5
grew 1
hairball 1
hard 1
have 1
he 2
his 2
how 1
including 1
into 2
is 1
it 2
life 1
lord 1
most 1
of 2
out 1
provide 1
replace 1
rings 1
serkis 2
should 1
soul 1
subjects 1
tackles 1
the 5
threeweek 1
throughout 1
to 3
took 1
up 1
various 1
voiceover 1
well 1
whether 1
with 1
work 2
