8518130
/m/02769mn
/m/02769mn
Sergey Lukyanenko
1990
14years 1
1518 1
18 1
30 1
40 1
70 1
a 10
about 1
account 1
action 1
aliens 3
all 1
almaata 1
also 5
although 1
among 1
and 15
approximately 1
are 6
as 2
at 2
attempt 2
attention 1
be 1
because 1
beginning 1
being 1
betrayal 1
boy 1
boys 1
bridges 1
brutal 1
but 3
by 1
castle 1
change 1
children 2
city 1
collapsed 1
confederation 3
connected 1
conquer 1
conquerors 1
consists 1
cover 1
death 1
decades 1
democracy 1
desire 1
dictatorship 1
dima 4
discover 1
distinct 1
do 2
dont 1
doomed 1
down 1
during 1
dynamite 1
each 3
earth 1
engagement 1
environment 1
error 1
establishment 1
even 2
everyone 1
fallen 1
feelings 2
feels 1
fight 3
find 1
first 2
fists 1
for 2
forty 1
friends 3
from 1
game 1
get 1
girl 1
girls 1
got 1
groups 1
had 1
has 1
hatred 1
he 2
heroes 1
heterogeneous 1
hidden 1
high 1
his 3
home 2
homes 1
homogenous 1
however 1
human 2
in 5
including 1
inga 1
instead 1
into 1
is 4
island 1
islands 7
it 1
join 1
kids 1
kill 1
killed 2
kills 1
kind 1
knew 1
knights 3
leader 1
learn 1
life 1
live 1
locked 1
long 1
made 1
most 1
motivation 1
much 1
must 1
narrow 1
national 1
native 1
new 2
no 1
not 3
now 2
of 15
old 1
older 1
on 4
one 3
ones 1
only 1
opponent 1
or 3
others 1
out 1
pay 1
peers 1
place 1
population 1
power 1
promised 1
propose 1
proves 1
psychology 1
realized 1
refuse 1
relationships 1
remains 1
retaining 1
return 3
revenge 1
room 2
rude 1
rules 1
rushes 1
second 1
sees 1
set 1
several 1
since 1
so 1
sociology 1
some 2
stable 1
steel 1
stop 1
streets 1
support 1
surrender 1
sword 1
swords 2
take 2
than 1
the 23
their 3
themselves 2
then 1
there 2
these 1
they 8
this 2
though 2
three 1
time 1
to 16
told 1
too 1
towards 1
trial 1
turns 2
understand 1
union 1
unstable 1
up 1
used 2
usual 1
very 1
via 1
want 2
wants 1
war 1
was 1
way 2
weapons 1
when 3
where 1
who 2
wielder 1
winners 1
with 1
wooden 1
world 2
would 1
wounds 1
