14984064
/m/03h3p8n
/m/03h3p8n
Jo Walton

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 3
against 1
and 9
ap 1
battle 2
battles 1
between 1
brother 1
brutally 1
by 2
capital 1
cavalry 1
charisma 1
daughter 1
drawn 1
efforts 1
enlists 1
follows 1
from 1
gwien 1
happens 1
help 1
her 3
high 1
in 3
invading 2
is 2
isarnagans 1
island 1
jarnsmen 3
journey 1
king 4
kingdoms 1
land 1
law 1
leadership 1
many 1
more 1
murdered 1
novel 1
of 6
part 2
peace 1
proves 1
ranks 1
raped 1
request 1
restore 1
she 2
six 1
skill 1
small 1
soldiers 1
some 2
sulien 2
tanagiri 2
the 13
tir 2
to 4
travelling 1
unite 1
up 1
upon 1
urdo 2
warrior 1
while 1
woman 1
young 1
