5021410
/m/0c_622
/m/0c_622
Carl Hiaasen
1987
{"/m/02n4kr": "Mystery", "/m/0c3351": "Suspense"}
a 14
about 1
accident 1
account 1
adding 1
advance 1
advice 1
after 3
al 1
alarm 1
allowing 1
almost 1
also 1
an 4
and 14
announcing 1
another 1
anyway 1
are 1
as 1
assaulting 1
assignment 1
assuming 1
at 6
attending 1
august 1
back 1
bad 1
bass 5
be 1
becoming 1
been 2
believed 1
believes 1
besides 1
blame 1
boat 2
bobby 9
body 1
boost 1
both 1
built 1
but 5
by 4
calling 1
camera 1
cane 1
car 1
catch 1
catherine 1
celebrity 1
charles 1
charlie 1
cheat 1
cheaters 1
christian 2
circuit 1
clinch 3
clubbed 1
clues 1
comes 1
committed 1
condominiums 1
confides 1
coroner 1
corporate 1
county 2
crash 1
culprit 2
dead 1
death 2
decker 16
dennis 3
desperate 1
detective 1
development 1
dickie 3
died 1
discovers 2
dismissive 1
dispirited 1
down 2
drives 1
drops 1
early 1
edge 1
elaine 1
enthusiasts 1
equipment 1
evangelist 1
everglades 1
exclusively 1
expensive 1
expert 1
exwife 1
failure 1
fanatic 2
fashion 1
few 1
financial 1
finding 2
finds 3
fired 1
first 1
fisherman 3
fishing 9
floating 2
florida 3
for 3
former 1
found 1
framed 1
friend 1
from 1
fucker 1
funeral 1
gang 1
garcia 1
gault 5
going 2
guides 1
had 1
harney 2
has 2
hated 1
have 1
he 11
her 4
hermit 1
him 5
himself 1
hired 2
his 9
home 1
hometown 1
hotel 2
hours 1
housing 1
however 1
ill 1
in 8
inadvertently 1
increasingly 1
intercepts 1
interviews 1
into 1
investigate 1
investigating 1
investigator 1
is 10
its 1
joyriding 1
junked 1
just 1
kid 1
kill 1
killed 1
laconic 1
lake 4
lakes 2
lakeside 1
lanie 2
later 2
latest 1
leaves 1
led 2
lights 1
likely 1
lives 1
local 1
lockhart 10
looks 1
loses 1
louisiana 2
lovers 1
lunker 2
main 1
mammoth 1
massive 1
maurepas 1
mean 1
meanwhile 1
meets 2
memorial 1
mentions 2
miami 1
model 1
moment 1
money 1
morning 2
much 1
murder 1
murdered 1
nailing 1
named 1
network 2
news 1
newspaper 2
nicknamed 1
no 1
not 1
notices 1
of 8
off 1
old 1
on 9
only 1
onto 1
ott 6
out 2
outdoor 2
outlandish 1
over 1
own 1
photograph 1
photographer 1
pickney 1
playfully 1
police 1
prison 1
private 1
project 1
prove 1
publicity 1
put 1
quickly 1
quietly 1
rage 1
reality 1
reclusive 1
remains 1
reporter 1
result 1
returns 2
reverend 2
richard 1
rival 2
rj 1
room 1
ruin 1
ruled 1
sabotage 1
sales 2
same 1
seeing 1
sentence 1
served 1
setup 1
she 3
shoot 1
short 1
signs 1
sister 1
skeptical 1
skink 5
sleep 1
slowly 1
so 1
sponsors 1
steal 1
strange 1
stunt 1
sugar 1
sunk 1
suspicions 1
tail 1
takes 2
tank 1
targeted 1
teaching 1
teenaged 1
tells 3
temper 1
that 7
the 27
their 1
they 2
thing 1
time 1
to 18
together 1
too 2
tournament 4
tracked 1
tracking 1
trying 1
tv 1
tycoon 1
unfortunately 1
up 1
used 1
very 2
waiting 2
was 2
wasnt 2
weeb 3
weigh 1
were 1
when 3
while 2
who 2
whole 1
widow 1
will 1
wins 1
woods 1
work 1
worry 1
worse 1
worst 1
wrong 1
