1735504
/m/05s1st
/m/05s1st
Samuel Richardson
1748
{"/m/02ql9": "Epistolary novel"}
a 11
about 1
accept 1
account 1
action 2
adamantly 1
after 2
aftermath 1
afterwards 1
agrees 1
all 1
already 1
also 1
although 1
amazed 1
an 3
and 34
another 3
any 1
anything 1
approaching 1
are 3
aristocracy 1
articles 1
as 7
asks 2
assist 1
at 2
atone 1
attempts 1
avenge 1
away 2
awoken 1
back 1
backfires 1
badly 1
be 3
beautiful 1
become 2
becomes 2
becoming 1
been 1
before 1
begins 1
being 1
belford 4
believe 1
believes 1
best 1
better 1
blow 1
body 1
boorish 1
both 1
brothel 4
brother 1
but 6
by 7
campaign 1
can 1
caused 2
characters 1
clarissa 23
col 2
combined 1
concentrate 2
consciousness 1
correspondence 1
corrupt 1
cousin 1
dangerously 1
day 1
deadly 1
death 3
desires 2
desperate 1
die 1
died 1
dies 2
difficult 1
directly 1
discover 1
discovered 1
disguised 1
disgusting 1
divine 1
do 3
doctor 1
done 1
drives 1
drugging 1
due 1
duel 3
duress 1
during 2
dying 1
each 1
earldom 1
eloping 1
ends 2
enemy 1
ensures 1
escape 1
even 1
eventually 5
ever 1
exist 1
expiate 1
extremes 1
family 6
fate 1
fights 1
finally 1
finds 4
for 4
force 2
forced 1
free 1
friend 1
frightened 1
from 1
full 1
gains 1
getting 1
go 1
goes 1
gone 1
grandfather 1
granted 1
growing 1
handles 1
hands 1
happens 1
harlowe 3
harlowes 2
has 6
have 2
he 12
height 1
heir 1
her 17
heroine 1
herself 1
highclass 1
him 6
himself 2
his 7
holdings 1
i 1
if 2
ill 1
impressed 1
in 6
individual 1
individuals 1
injured 3
instance 1
intends 1
into 4
is 14
it 5
italy 2
its 1
james 5
john 1
joseph 1
keeps 1
kept 1
kind 1
knows 1
ladies 1
lady 1
laments 1
lands 1
late 1
lead 1
leaves 3
leman 1
let 1
letters 1
libertine 1
life 1
like 2
live 2
lodgings 2
longer 1
longing 1
lord 1
loses 1
lovelace 23
makes 1
manager 1
manages 2
many 6
marriage 1
marry 6
marrying 2
may 1
mdash 2
me 1
meet 1
mental 1
might 1
mind 1
misery 1
money 1
months 2
morden 7
more 3
moved 1
mrs 1
must 1
new 1
no 1
nobility 1
noise 1
not 3
now 1
occasions 1
of 13
on 4
one 2
only 2
opens 1
opposed 1
original 1
other 2
part 1
passion 1
peace 1
physically 1
piece 1
plan 1
political 1
poor 1
possess 1
possession 1
possible 1
power 1
pressure 1
pretends 1
prisoner 1
properties 1
property 1
proposes 1
prostitutes 1
provoke 1
rape 1
rapes 1
reaches 1
reads 1
realise 1
realizes 1
receive 1
receiving 1
recently 1
refuses 1
relatives 1
remain 1
response 1
returning 1
robert 1
roger 1
route 1
run 1
runs 1
says 1
seem 1
seems 1
seen 1
sends 1
sent 1
servant 1
shall 1
shattered 1
she 9
sheltered 1
should 1
shouts 1
sickness 1
sinclair 1
sins 1
slit 1
smiths 1
so 1
solmes 2
somewhere 1
speed 1
story 1
strangers 1
substantial 1
surrounded 1
suspected 1
taken 1
terms 1
that 8
the 33
their 1
them 1
there 1
thereafter 1
they 3
this 2
throat 1
through 2
thy 1
time 1
times 1
title 1
to 34
too 1
trade 1
tragic 1
treatment 1
tricks 2
trusting 1
unable 1
under 1
upon 1
very 1
vile 2
virtue 2
virtuous 2
wants 1
was 1
way 2
wealth 2
wealthy 1
well 2
what 1
when 2
where 1
who 3
whom 1
whose 2
will 4
willing 1
with 7
women 2
worshipper 1
writes 1
young 1
