34483310
/m/0j27drs
/m/0j27drs
Richard Price

162 1
17yearold 2
a 3
about 1
above 1
addition 1
after 2
ago 1
all 1
also 1
an 1
and 16
andor 1
apart 1
appear 1
are 1
as 1
at 2
aunt 1
backgrounds 1
becomes 1
beginning 1
behind 1
being 2
book 2
borsalino 1
boston 1
bowling 1
broad 1
bronx 1
buddy 2
but 2
by 1
capra 1
caputo 1
catching 1
challenges 2
characters 2
come 1
competition 1
cool 1
cultural 1
cumbersome 1
date 1
decides 1
denise 1
describe 1
despie 1
determined 1
died 1
dies 1
different 1
end 1
escalates 1
ethnical 1
eugene 2
events 2
every 1
face 1
falling 1
father 3
first 3
flees 1
focus 2
football 1
for 2
friends 1
from 2
gang 2
gangbusiness 1
gangs 1
gennaro 1
girlfriend 3
go 1
growing 1
had 1
has 1
have 1
he 2
him 1
his 8
husband 1
impregnates 1
in 8
interfering 1
is 9
italoamerican 1
its 2
jersey 1
joey 2
joins 2
laguardia 1
leader 1
life 1
living 1
machismo 1
many 1
marines 1
more 2
mother 1
neighborhood 1
new 1
nina 1
now 1
of 8
on 4
once 1
one 1
only 1
other 1
own 2
perry 2
perrys 1
prejudice 1
problems 1
protagonists 2
range 1
raped 1
richie 2
richies 1
rivalry 2
rizzo 1
road 1
sail 1
sea 1
serious 1
several 1
sex 1
side 1
situation 1
so 1
sports 1
staying 1
such 1
suddenly 1
terms 1
the 19
their 2
there 1
this 1
time 1
to 6
toward 1
trenton 1
unbearable 1
up 2
very 1
violent 1
wanderers 2
watching 1
way 1
who 1
with 2
without 1
years 1
youth 1
zeitgeist 1
