5359850
/m/0dh9z1
/m/0dh9z1
Simon A. Forward

{"/m/014dfn": "Speculative fiction"}
1812 3
21st 2
5000 2
a 21
ability 1
able 2
about 1
across 1
admits 2
affection 1
after 1
age 1
agrees 2
aid 1
aide 2
alexander 1
aliens 1
all 3
allowing 1
allows 3
also 2
although 1
amplify 1
an 1
and 40
angel 5
any 1
aphrodite 8
apparent 1
apparently 2
arctic 1
are 10
around 1
arranges 1
arrive 5
arrives 2
artefacts 1
artifacts 1
as 13
assumes 2
at 1
attacked 2
attackers 1
attempt 1
avoid 1
awaits 1
awakes 1
away 1
back 4
be 4
because 1
been 6
being 4
betray 2
between 1
body 2
branch 1
breaking 1
breaks 1
bridge 1
bugayev 6
bunker 2
burgayev 1
businessman 1
but 8
by 17
can 3
cannot 1
captain 1
captor 1
captured 1
carry 1
catching 1
causes 1
century 2
child 1
clear 1
collected 1
collection 1
colonel 2
commander 1
commits 1
companions 1
compelled 1
complete 1
confident 1
confiscated 1
contact 1
control 3
controlling 2
controls 1
convince 1
convincing 1
convoy 3
corrupt 1
crashes 1
create 1
creature 1
crew 1
daring 1
day 1
dearly 2
decides 1
defeat 2
deliver 1
demands 1
destroyed 2
developed 1
device 1
diamond 4
discipline 1
discover 1
displayed 1
doctor 20
doesnt 2
drives 1
dusha 10
each 1
early 1
earth 1
effect 2
emotions 1
employer 1
empty 1
ends 1
enemy 1
enraged 1
equipment 1
escape 2
escapes 1
escorted 1
everyone 1
evidence 1
exactly 1
execute 1
exiled 1
explains 1
eyes 2
face 1
fails 1
fearing 1
feelings 1
fetch 1
find 3
finds 2
fire 1
fires 1
fitz 14
for 6
forbidden 1
force 3
forces 2
form 1
fortunately 1
free 1
french 1
friend 1
from 5
full 1
future 5
garudin 13
gather 1
general 3
given 1
go 3
gone 1
greets 1
grigoriy 1
group 2
grows 1
halves 1
happily 1
happy 1
has 8
have 7
having 2
he 21
head 1
headquarters 2
heads 1
heal 1
held 1
help 4
her 14
herself 1
him 6
himself 4
his 14
history 1
home 1
horseback 1
how 1
however 6
hq 1
if 2
in 16
industrialist 2
influence 1
injuries 1
insists 1
instead 1
intelligent 1
intends 3
interrupted 1
into 1
intrigued 1
investigating 1
investigation 1
is 24
it 4
journey 1
justify 1
kills 1
kinzhal 9
know 1
knowing 1
knows 1
kremlin 1
laws 1
leaders 1
leave 2
leaves 1
lecher 1
life 1
like 1
locals 1
locket 6
look 1
looking 1
lord 3
lost 1
lover 1
lovers 3
loves 2
lustful 1
machine 3
manages 2
marched 1
masters 2
may 2
means 1
meantime 1
meanwhile 3
men 1
mental 1
metal 1
military 1
misl 1
missing 1
mistaken 1
more 2
mortally 1
mother 2
moved 1
museum 2
must 1
mysterious 1
named 1
natural 1
nature 2
necklace 2
needed 1
needs 1
new 1
noblewoman 1
not 2
notorious 1
now 1
obtains 1
of 17
off 1
offer 1
offers 1
office 1
on 12
once 3
one 1
or 1
other 2
out 3
overpowered 1
own 2
padorin 3
painting 2
paraiso 5
parents 1
part 2
past 2
people 1
person 2
personal 1
picture 1
plan 2
planet 1
plans 1
plotting 1
point 1
pool 2
portrait 1
pose 1
possess 1
possessed 2
possibly 1
powerful 1
prepares 1
present 1
properly 1
public 1
pyrokinetic 1
raid 2
raiding 1
ransacked 1
razum 1
realises 1
recovering 1
recovers 1
reforming 1
refuses 1
released 1
remain 1
rescue 1
rescued 1
retrieve 1
return 2
returned 2
returns 1
reunion 1
reunited 3
reveal 1
rewarded 1
risk 1
ruins 1
russian 2
sabbath 3
sacrifice 1
safety 1
same 3
satisfied 1
scale 1
search 1
searching 1
secondincommand 1
secretary 2
see 1
seeing 1
seem 1
seems 1
sell 1
sent 1
separation 1
set 1
she 13
shows 2
sight 1
sights 1
sister 2
sisters 1
society 1
soldier 9
soldiers 1
solution 1
something 1
spy 1
star 2
starcrossed 1
started 1
stay 1
steal 1
stealing 1
still 1
stolen 1
strange 1
study 1
stumble 1
successful 1
succumbs 1
suicide 1
suitably 1
surprised 1
suspects 1
take 2
taken 1
taking 2
tardis 2
technology 1
tells 1
that 19
the 95
thefts 1
their 4
them 6
then 1
there 3
they 9
thinks 1
this 4
thought 2
through 2
time 9
to 70
together 1
token 1
told 1
too 1
travel 4
travelling 1
treasures 1
tricks 1
tries 1
trix 10
troubled 1
true 1
try 1
two 6
unable 1
under 1
unfortunately 5
unit 1
united 1
unknown 1
unseen 1
up 1
use 2
using 3
vehicle 1
victor 2
villa 1
vishenkov 1
visit 2
vladimir 1
vows 1
vremnya 1
wanting 1
was 3
watch 1
watching 1
well 2
were 2
what 2
when 1
where 2
which 3
whilst 1
who 4
whom 1
why 1
wilderness 1
will 4
with 9
without 1
woman 2
work 2
worries 1
wounded 1
wrong 1
younger 1
