4168853
/m/0bmvtt
/m/0bmvtt
Stel Pavlou

{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
2004 1
27 1
3000 1
a 7
all 1
alternating 1
amid 1
amok 1
an 1
and 7
are 2
art 1
as 2
at 1
back 1
backwards 1
become 1
becomes 1
been 1
beginning 1
begins 1
being 1
book 2
books 1
both 1
called 1
character 1
characters 1
city 1
clear 1
complicated 1
continue 1
course 2
cyclades 3
deal 1
dealing 1
death 2
delving 1
detective 1
dies 1
distant 1
divided 1
drawn 1
during 2
each 3
echo 1
exhibits 1
first 4
flashback 1
flashbacks 1
for 1
forces 1
form 1
from 1
fundamental 1
further 3
genetic 1
genome 1
greek 1
has 3
have 1
he 1
him 1
his 2
history 1
human 1
identify 1
identity 1
if 1
in 9
into 1
is 5
it 2
james 1
journey 1
jumps 1
lays 1
line 1
lineage 1
lines 1
makes 1
man 1
memories 3
memory 1
mentally 1
merely 2
metropolitan 1
mortally 1
museum 1
nature 2
new 1
north 1
novel 4
of 13
on 1
one 1
opening 1
or 1
original 1
out 1
over 1
page 1
pavlou 1
person 6
plot 1
point 1
police 1
procedural 1
prologue 2
question 1
reincarnation 1
run 1
same 3
self 1
seven 2
several 1
sex 1
shares 1
shifts 1
so 1
source 1
stem 1
structure 1
sybil 1
that 3
the 29
their 1
then 1
thereafter 1
they 2
third 2
time 2
to 7
told 3
trials 1
trojan 1
unlocked 2
unstable 1
using 1
war 1
warrior 1
whereupon 1
who 1
with 4
wounded 1
year 1
years 1
york 1
