8124813
/m/026shdm
/m/026shdm
Zoey Dean
2006-05
a 7
about 1
adam 1
after 1
agrees 1
alist 1
all 1
also 1
and 7
anna 2
anonymously 1
any 1
appreciates 1
are 1
at 1
back 1
because 2
being 1
ben 3
between 1
beverly 1
birnbaum 2
blist 1
both 1
boyfriend 1
but 1
by 1
bypass 1
cammie 1
cant 1
cares 1
collusseum 1
come 1
contest 1
couples 1
curvy 1
did 1
discovers 1
disdain 1
documentary 1
doesnt 3
eduardo 2
end 2
ends 1
engagement 1
enter 1
explains 1
family 2
father 1
figure 1
film 1
for 5
friend 2
from 1
gastric 1
get 1
girl 1
girls 1
given 1
go 1
had 1
has 3
he 5
helping 1
her 8
high 2
hills 1
his 2
horse 1
how 1
hur 1
in 3
including 1
intended 1
is 6
it 2
jasminejazz 1
junior 1
just 1
loves 1
maddy 1
make 1
making 1
mom 1
more 1
most 1
much 2
need 2
newly 1
night 2
of 5
off 1
on 1
one 1
only 1
opheliafee 1
out 1
parker 1
percy 1
place 1
princeton 1
problems 1
prom 5
quite 1
realize 1
remake 1
sam 4
samantha 1
saving 2
says 1
school 1
secret 1
securing 1
sexy 1
shake 1
she 5
shocking 1
shooting 1
should 1
show 1
staying 1
subject 1
summer 1
surgery 1
than 1
that 4
the 10
they 2
this 1
time 1
to 6
tries 1
two 2
unfortunately 1
university 1
up 2
visiting 1
wannabes 1
watching 1
where 1
who 3
will 1
with 2
without 1
year 1
