2626115
/m/07sn62
/m/07sn62
Ira Levin
1953-06
147 1
a 13
abject 1
about 2
above 1
accident 1
according 1
accusers 1
affair 1
all 1
always 1
an 3
and 23
are 2
as 5
at 2
attain 1
automobile 1
becomes 1
before 1
begins 2
begs 1
below 1
breaks 1
bud 1
building 1
but 1
by 3
case 1
caught 1
charms 1
childhood 1
clippings 1
clue 1
college 2
confesses 1
confronts 1
conservative 1
continues 1
convinced 1
copper 3
corliss 14
corner 1
courts 1
coverage 1
cowardice 1
craved 1
crime 1
daughter 2
days 1
death 4
deaths 1
deception 1
delirious 1
did 1
discharge 1
disgusted 1
disinherit 1
display 1
dj 1
done 2
dorothy 9
dotes 1
drive 1
during 2
elated 1
ellen 6
engaged 1
enrolls 1
eventually 1
evidence 1
expose 1
falls 1
family 4
father 5
fear 1
feet 1
few 1
finally 1
first 1
for 3
frantically 1
friends 1
from 2
gant 2
get 2
getting 1
going 1
gordon 1
had 1
has 5
having 1
he 21
her 13
herself 1
him 4
his 12
holds 1
home 2
honorable 1
however 1
ii 1
immediately 1
importance 1
in 6
innocence 1
into 4
investigating 1
investigation 1
is 10
japanese 2
just 1
keep 1
kill 1
killed 1
kills 2
kingship 4
last 1
learns 1
letter 1
lies 1
life 2
like 1
live 1
local 1
look 1
lover 1
low 1
luck 1
man 2
manufacturing 1
marion 5
mdash 2
meeting 1
meets 1
mercy 1
met 1
molten 1
moment 1
money 1
months 1
most 2
mother 1
news 1
no 2
nonchalantly 1
not 1
note 1
observer 1
occurs 1
of 13
off 1
on 2
one 1
opportunity 1
origins 1
out 1
over 2
overseas 1
pacific 1
panics 2
pants 2
pathetic 1
pivotal 1
plan 2
plants 1
pleads 1
power 1
pregnant 1
presents 1
press 1
probe 1
pursues 1
realizing 1
relationship 1
remaining 1
resolving 1
returning 1
riches 1
rid 1
rise 1
risk 1
romance 1
roof 1
run 1
runs 1
ruthless 1
same 1
secret 1
seducing 1
seeing 1
serves 1
setback 1
shame 1
she 2
shows 1
sister 2
sniper 1
so 1
soldier 2
soon 1
standing 1
steals 1
stern 1
stumbles 1
subsided 1
successful 1
suicide 1
sure 1
suspicious 1
sweeps 1
symbol 1
tall 1
tells 1
terrified 1
terror 1
that 4
the 24
their 1
then 3
this 2
threaten 1
throws 1
time 1
to 16
total 1
tricks 1
trip 1
truth 1
tycoon 1
uncovers 1
unfazed 1
unknowing 1
unmoved 1
until 2
up 1
upon 2
urged 1
us 1
vat 2
war 2
was 2
wealth 1
wealthy 1
wedding 1
well 2
wets 2
what 1
when 2
while 2
who 3
will 1
with 4
workingclass 1
world 1
would 1
wounds 1
writing 1
written 1
young 1
