2180530
/m/06sx81
/m/06sx81
Richard Behar
1991-05
a 12
about 1
affairs 1
affiliated 1
after 2
aiming 1
and 7
article 3
as 4
assigned 1
awareness 1
background 1
believe 1
blame 1
brief 1
business 1
but 1
by 1
california 1
came 1
carnegie 1
church 5
cited 1
classically 1
controversies 1
country 1
courses 1
coursework 1
crimes 1
cult 4
cynthia 1
dale 1
death 1
deemed 1
died 1
differing 1
director 1
discussing 1
ed 2
effect 1
elder 1
ever 1
expressed 1
extracts 1
family 1
father 1
federal 1
fiction 1
floor 1
for 2
fortunes 1
founding 1
from 2
full 1
global 1
greed 1
had 4
has 1
have 1
he 1
head 1
him 1
his 4
history 1
hotel 1
however 1
hubbard 3
i 2
in 1
initial 1
initially 1
intolerable 1
involving 1
is 4
its 2
judge 1
jumping 1
kisser 1
l 1
liar 1
life 1
likely 1
litigious 1
lives 1
look 1
lost 1
lottick 5
lucrative 1
made 1
mainstream 1
members 1
mike 1
mirrornbsp 1
misgivings 1
money 1
more 1
most 4
network 1
no 1
none 1
of 13
office 1
on 3
operations 1
ordeal 1
organization 1
outlined 1
parties 1
pathological 1
poses 1
positions 1
power 1
psychopaths 1
quite 1
quoted 1
really 1
religion 1
reported 1
rinder 1
ron 1
ruined 1
russian 1
ruthless 2
scamand 1
school 1
science 1
scientologist 1
scientology 9
seen 1
selfimprovement 1
series 1
should 1
similar 1
son 1
special 1
spokesman 1
stated 1
student 1
studies 1
suicide 1
taken 1
techniques 1
tenth 1
terroristic 1
that 2
the 24
then 1
they 1
think 2
thought 1
thriving 1
title 1
to 2
was 3
well 1
while 1
who 2
window 1
writer 1
