5322210
/m/0dfhqs
/m/0dfhqs
Brian Aldiss
1996-01-26
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 3
accord 1
alludes 1
also 1
and 2
are 1
as 3
ashes 1
backbone 1
be 1
before 1
being 1
between 1
but 1
by 1
characters 1
closes 1
convoluted 1
corner 1
day 1
dodd 1
dodds 1
drinking 1
drinks 1
dying 1
faulkner 1
favourite 1
flashbacks 1
group 2
his 1
i 1
in 3
influenced 1
instructions 1
into 1
jack 3
journey 1
last 4
lay 1
live 1
london 1
makes 1
margate 1
much 1
not 1
of 10
only 1
ordered 1
orders 2
other 1
pastime 1
plot 1
pub 1
refers 1
relationships 1
round 1
same 1
scatter 1
sea 1
stipulated 1
story 3
style 1
tell 1
the 16
these 1
title 1
to 6
use 1
veterans 1
war 1
was 1
who 1
will 1
william 1
wishes 1
with 1
