13377285
/m/03c3cmk
/m/03c3cmk
Peter Parnell

186 1
a 5
act 1
addition 1
additional 1
after 2
afterplay 1
all 1
also 2
and 11
appear 1
are 2
as 4
at 2
attended 2
audience 2
autobiographical 1
before 1
between 1
bongo 2
book 1
books 1
both 2
bust 1
by 3
california 1
calls 1
cancer 1
care 1
challenger 1
character 2
characters 1
charged 1
commission 1
condition 1
consent 1
conversation 1
conversations 1
day 2
death 1
delegation 1
depression 1
detailed 1
determined 1
directly 1
disaster 1
dispirited 1
do 1
doctors 3
does 1
draw 1
drums 1
eager 1
earlier 1
expecting 1
father 1
feynman 14
fictional 1
field 1
final 1
follows 1
from 4
further 1
generally 1
grown 1
had 1
has 2
have 1
he 4
him 2
his 13
how 1
in 9
informs 1
institute 1
is 5
joking 1
june 1
knowledge 1
known 1
later 1
learn 2
learned 1
lectures 1
leighton 1
less 1
life 1
longdead 1
main 1
make 1
manages 1
manhattan 1
meet 1
memories 1
miriam 2
more 1
mr 1
musical 1
musings 1
name 1
nature 1
night 2
not 1
number 1
of 12
office 1
offstage 1
on 4
one 1
only 1
or 1
other 2
out 1
over 1
own 2
pacific 1
party 1
pasadena 1
people 1
performance 2
phone 2
physics 1
play 2
playing 1
procedures 1
production 1
project 1
protagonist 1
pull 1
ralph 1
readers 1
real 1
report 1
republic 1
returned 1
returns 1
risk 1
rogers 1
russian 1
safecracking 1
same 1
science 1
second 1
set 1
south 1
stage 1
student 2
study 1
surely 1
surgery 1
surgical 1
talks 1
technology 1
than 1
that 7
the 21
their 1
think 1
this 1
through 1
to 11
topics 1
touches 1
tuva 2
two 1
undergo 1
urging 1
views 1
visit 1
we 3
well 1
wellknown 1
what 2
where 1
which 2
whimsically 1
who 1
wife 1
will 1
with 3
without 1
witnessed 1
writings 1
years 1
you 1
young 1
youre 1
