15678856
/m/03npmj9
/m/03npmj9
Peter Handke


12 1
a 7
after 6
afternoon 1
ago 1
along 1
an 2
and 7
anything 1
as 1
assembled 1
away 1
became 1
before 4
behind 1
being 1
bit 1
bustle 1
but 2
by 3
caf 1
came 2
coffin 1
coloured 1
come 1
comes 1
continued 1
contours 1
day 1
described 1
didnt 1
dispersed 1
does 1
drew 1
drove 1
each 2
entered 1
entire 1
every 1
everything 1
for 3
four 1
front 1
gain 1
goes 1
gone 2
got 1
had 2
handke 1
happened 1
has 1
hearse 3
helped 1
hence 1
hours 1
house 1
hustle 1
i 2
id 1
idea 1
in 4
incident 1
interview 1
into 1
is 1
it 2
knew 1
know 1
lffler 1
life 1
little 2
may 1
me 1
men 1
milling 1
muggia 1
natives 1
near 1
none 1
observation 1
occurrence 1
of 7
on 6
onlookers 2
only 1
or 1
other 2
out 1
pass 1
people 1
perhaps 1
play 2
procedures 1
profil 1
real 1
sat 1
sculpt 1
sculpts 1
sculptures 1
see 1
seemed 2
seen 1
several 1
significant 2
sigrid 1
somewhat 1
spent 1
square 2
state 1
symbolic 1
terrace 1
that 3
the 17
them 1
then 1
thing 1
this 2
those 1
three 1
through 2
tiniest 1
title 1
to 1
tourists 1
trieste 1
trigger 1
up 1
was 2
watched 1
went 1
wethe 1
what 5
which 1
who 3
wine 1
with 3
without 1
workers 1
world 1
years 1
