1385533
/m/04ycyx
/m/04ycyx
Willa Cather
1915
a 19
about 2
accept 1
accident 1
admit 1
after 7
again 3
agent 1
agrees 1
alarmed 1
alden 1
all 2
already 1
also 3
although 2
alto 1
ambition 2
an 4
and 30
angry 1
anna 2
another 3
appears 1
archie 9
are 1
area 1
arizona 3
artistic 1
as 2
asks 2
at 9
attends 1
audience 1
away 1
axel 1
baby 1
back 6
ball 1
be 1
because 2
becomes 2
becoming 1
been 2
before 2
begins 1
being 1
believes 1
bequeathed 1
best 1
better 1
bible 1
bids 1
birth 1
both 1
bowers 2
boy 1
brought 1
busy 1
but 6
by 5
canyon 1
care 1
carriage 1
chicago 5
choir 2
christmas 2
christoph 1
church 4
city 3
close 2
club 1
collect 1
colorado 1
comes 1
concert 1
conclusion 1
conductor 2
cote 1
could 1
couldnt 1
countryside 1
daughter 1
day 2
days 1
decide 1
decides 1
denver 3
despite 2
died 1
dies 1
dinner 2
disappointing 1
discontinued 1
doctor 2
doesnt 1
dollars 1
double 1
down 2
dr 5
drama 1
dreams 1
drops 1
drummer 1
drunk 1
during 1
elected 1
emotional 1
end 1
ends 1
enough 2
estranged 1
even 1
eventually 1
explaining 1
family 2
father 2
fell 1
fells 1
fictional 2
fifteen 1
finally 1
flagstaff 1
for 8
four 1
francisco 1
fred 7
friend 1
from 4
fulltime 1
funeral 1
funerals 1
futility 1
garden 1
german 2
get 3
gets 3
gift 1
give 2
gives 1
giving 1
gluck 1
go 5
goes 8
goodbye 1
governor 1
grown 1
grows 1
gunner 1
harsanyi 3
has 7
have 6
having 1
he 25
help 1
helped 1
helps 1
her 32
him 5
his 13
home 1
hotel 1
house 3
how 1
however 2
hundred 1
hurt 1
impressed 1
in 18
informs 1
insists 1
instead 1
into 1
investments 2
is 18
isnt 1
it 4
job 1
johnny 3
joins 1
keeps 1
kennedy 1
kiss 1
kohlers 3
kronborg 4
last 1
later 10
learn 1
leave 2
leaving 1
lesson 2
lessons 3
let 1
lets 1
life 1
like 1
lily 1
live 1
lives 1
local 2
look 2
lot 1
lunch 1
made 1
madison 1
makes 1
man 1
many 1
married 2
marry 1
marrying 1
meanness 1
meet 3
meetings 1
meets 2
mentions 1
metropolitan 1
mexican 1
mexico 1
mines 1
mining 1
minute 1
moonstone 4
more 1
mother 2
moved 1
moves 1
moving 1
mr 4
mrs 1
nathanmeyers 1
needs 1
new 2
next 2
night 1
not 3
novel 1
of 15
off 1
often 1
old 1
on 4
one 1
only 3
opera 3
operatic 1
orchestra 1
other 1
ottenburg 5
out 4
outside 1
over 1
overwhelmed 1
owns 1
paper 1
parish 1
part 3
parts 1
passes 1
past 1
peaks 1
people 2
perfect 1
performance 3
performs 2
piano 3
pile 1
play 1
playing 1
plays 1
pneumonia 1
politician 1
ponders 1
praises 1
proved 1
ranch 1
ray 4
receives 1
reformed 1
relaxing 1
remaining 1
reproaches 1
request 1
returns 1
rich 4
ridiculed 1
rival 1
rock 1
runs 1
sad 1
san 1
saxony 1
says 2
school 1
sees 1
seventeen 1
several 1
she 25
shiloh 1
shoddy 1
shortly 2
shot 1
should 2
show 1
sick 2
silver 2
sing 2
singer 1
singing 3
sings 3
six 1
small 1
so 1
some 1
son 1
spanish 3
spend 1
starts 1
station 1
still 1
stipend 1
stop 1
stories 1
storm 1
stranded 1
strawberries 1
striking 1
students 3
study 1
suggests 1
summer 1
summoning 1
swedish 1
takes 7
talk 2
talks 1
teacher 1
telegram 1
tell 3
tells 5
ten 2
that 11
the 44
thea 22
their 3
them 2
themselves 1
then 5
there 3
they 11
thirty 1
this 1
thor 1
though 1
tillie 3
time 1
tired 1
to 46
told 1
too 1
town 4
towndwellers 1
train 4
tramp 1
travel 1
true 1
turns 2
twelve 1
two 1
unconscious 1
until 1
up 4
very 2
violent 1
voice 3
wakes 1
wassiwappa 1
way 1
weeks 1
well 2
went 1
west 1
what 1
when 6
where 3
whether 1
which 1
who 7
whole 1
wife 4
wilderness 1
will 1
willibald 1
winslow 1
with 14
women 1
wondering 1
work 1
worth 1
would 1
wouldnt 1
wunsch 3
years 3
york 2
young 1
