3052466
/m/08n9w5
/m/08n9w5
Matthew Reilly
2004
2 1
4 1
a 23
able 1
accepts 1
across 1
actual 2
admitting 1
advantage 2
after 6
again 1
against 1
age 1
agent 1
agree 1
agrees 1
aid 1
alessandro 1
all 3
alluding 1
along 2
already 2
also 2
an 2
and 42
another 1
apparent 1
are 2
argonaut 2
argonauts 1
ariel 7
ariels 2
around 1
as 6
at 3
attempt 1
attention 1
attracts 1
autistic 1
backfires 1
barely 1
barnaby 1
based 1
be 3
beats 2
beautiful 1
becker 1
becomes 2
becoming 1
been 3
before 2
begin 1
begins 1
best 1
betting 1
billionaire 1
body 1
both 3
bout 1
breaks 1
brother 1
bug 4
bullied 1
but 6
by 3
car 2
cars 2
causes 1
celebrates 1
challenges 1
champion 1
championship 1
chance 2
changing 1
charge 2
chaser 1
chief 2
circuits 1
collect 1
comments 1
competing 1
completely 1
compressed 1
confidence 1
consider 1
consolidates 1
containing 1
coolant 2
corrupt 1
could 1
cousin 1
crash 1
crew 1
critical 1
crowds 1
damage 1
dangerous 1
decision 1
defeat 1
derby 1
desperate 1
despite 2
destroyed 1
destroying 1
dido 4
different 1
discovers 1
discussing 1
dismisses 1
disrupting 1
distracted 1
doing 1
doubts 2
drives 3
due 3
during 3
earlier 3
ejector 1
enable 1
encountered 1
ensures 1
entire 1
equipment 3
even 1
every 1
exhibition 1
explosive 1
fabian 4
fact 2
factor 1
failures 1
fair 1
far 2
faulty 1
favour 1
feeding 1
female 1
few 2
find 2
finish 2
fire 1
first 1
follow 1
for 5
forced 1
forewarns 1
forged 1
formulates 1
frankly 1
french 1
friendly 1
friendship 1
from 3
fulltime 1
function 1
gain 2
gas 1
genuinely 1
get 1
girl 1
good 1
grace 1
grid 1
gupta 1
has 1
have 5
having 1
he 8
headmaster 1
her 7
him 6
himself 4
his 14
home 1
hopes 1
hover 4
how 1
however 1
ii 1
impressed 1
in 20
including 2
independent 2
individuals 1
inexperience 1
inferior 1
influential 1
information 1
instead 1
international 1
invited 1
involved 1
irc 1
is 15
it 3
italian 1
italy 1
jason 30
keep 1
knew 1
known 1
large 1
last 3
late 1
later 1
lead 1
leclerq 1
line 2
literally 1
little 2
local 1
lombardi 5
look 1
luck 1
mag 1
magnanimous 1
magneto 2
manoeuver 1
manual 1
masters 3
mcduff 1
meaning 1
mech 1
melting 1
meters 1
misfortune 1
more 1
most 2
much 2
named 1
natural 1
nerve 1
new 5
next 3
night 1
none 1
nonevent 1
not 4
now 1
odds 1
of 20
off 2
offers 1
on 7
oneonone 1
only 5
opposite 1
other 2
otherwise 2
out 1
outclassed 1
overhears 1
own 1
owned 1
owner 1
paired 1
parents 1
part 2
perceives 1
perfect 1
perform 2
piper 1
pit 6
place 1
placed 1
places 1
placing 1
plant 1
pleased 1
points 3
position 2
possibly 1
power 1
practising 1
prevent 1
previously 1
prior 1
privately 1
pro 3
public 1
pulling 1
quite 2
race 11
racer 5
racers 6
races 7
racing 1
rankings 1
rated 1
ravi 1
reaching 1
realises 2
reality 1
rear 1
regains 1
regional 1
rekindle 1
relationship 3
relentlessly 1
relying 1
representing 1
respect 1
respectively 1
responsible 1
rest 1
revenge 1
reviewing 1
rich 1
ridiculing 1
rise 1
robot 3
robots 1
romba 2
ruthless 1
sabotage 1
sabotaging 1
sally 4
saluting 1
same 2
school 2
scott 1
season 1
seat 1
secretly 1
secures 1
seems 1
seen 1
several 1
sex 1
share 1
shows 1
skill 2
slight 1
slightly 1
slowly 1
smythe 1
so 2
some 1
something 1
soured 1
stabiliser 1
stack 1
stated 1
steering 2
still 1
stilted 1
stop 1
stores 1
straight 1
strategies 1
strategy 1
student 1
substandard 1
such 1
suffer 1
suffers 1
superior 1
superiority 1
surprise 1
swaps 1
syracuse 1
tactics 1
take 2
talent 1
tarantula 2
tasmania 1
team 4
teammates 1
tease 1
tentative 1
than 1
thanks 1
that 8
the 60
their 5
them 2
themselves 2
they 3
this 2
thus 2
time 2
tiny 1
to 27
together 1
top 1
track 1
training 1
transponder 1
trial 1
two 3
ultimately 1
umberto 1
until 1
use 1
uses 2
victory 1
virus 1
was 1
washington 1
well 1
wheel 1
when 5
which 6
while 1
whilst 2
who 8
will 3
win 1
wing 1
winning 2
wins 1
wishes 1
with 15
won 1
wong 1
work 2
world 2
xavier 8
xaviers 1
xonora 1
yet 1
york 5
