30510694
/m/0g9v1qv
/m/0g9v1qv
Jeffery Deaver
2011-05-26
{"/m/06wkf": "Spy fiction"}
00 1
a 45
abandoned 1
able 6
aborting 1
access 2
acquired 1
acronym 1
across 1
act 1
affect 1
afghanistan 1
africa 6
african 1
after 2
against 2
agency 1
agent 1
agents 2
ago 1
aid 2
aimed 2
all 1
allow 1
allowing 1
along 1
also 1
american 1
an 11
and 20
anticipate 1
approaches 1
are 1
army 2
arrested 1
arriving 1
as 9
assailant 2
assassinating 1
assassination 1
asset 1
assignment 1
assistant 1
associate 1
at 8
attack 7
attacked 2
attacking 1
attacks 1
attempts 1
attends 1
attention 1
authorise 1
authorised 1
bankrupt 1
base 3
be 3
because 1
been 4
before 1
begin 1
being 1
believed 1
believes 3
between 1
bheka 3
bigger 1
black 1
blueprints 1
bodies 2
bond 32
branch 1
breakthrough 1
bringing 1
british 3
brother 1
building 1
but 4
by 14
can 1
cancer 1
cape 1
carried 1
carrying 1
cartridge 3
catastrophe 1
centre 1
charity 2
cia 2
circle 1
clash 1
cleanup 1
close 2
closely 1
codenamed 1
cold 1
commonwealth 1
concerned 1
conclusion 1
conference 1
confesses 1
connection 2
consortium 1
consumer 1
contacts 2
continent 1
contracted 1
control 1
controlled 1
controls 1
conversation 1
convinced 1
corporation 2
correct 1
country 1
course 2
cover 1
covert 1
crowded 1
cutter 4
dangerously 1
danube 2
day 1
deadline 1
death 2
deduces 1
delacroix 1
deliver 1
demolish 1
demolition 1
depends 1
derail 1
derailing 1
derailment 2
derived 1
detain 1
detonate 1
developed 1
development 4
device 1
directly 1
disposal 2
distribute 1
distribution 1
does 1
domestic 1
down 1
drop 1
dubai 3
dumping 1
dunne 7
durbanbased 1
during 1
dutchborn 1
east 1
eavesdrops 1
eliminate 1
embezzling 1
employed 2
employer 1
encounters 1
ends 1
enigmatic 1
escape 1
escapes 2
establish 1
evacuating 1
evacuation 1
evidence 2
exhibit 1
exhuming 1
expanded 2
exploring 1
explosive 1
extraordinary 1
facility 2
false 2
fascination 1
father 2
fed 1
feeling 1
felicity 2
felix 2
fellow 1
fetish 1
find 1
fires 1
fixation 1
flag 1
following 1
food 4
for 9
forced 1
foreign 1
former 1
fortune 1
from 7
fuels 1
fundraiser 2
further 2
future 1
