11238494
/m/02r4qkd
/m/02r4qkd
Isabel Allende
2004
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
a 19
about 3
accompanied 1
accompanying 1
according 1
across 1
actually 1
adventure 1
adventures 1
african 3
after 4
afterwards 1
against 1
agility 1
agree 1
agrees 2
alex 7
alexander 2
all 1
allegedly 1
allende 1
along 1
alongside 1
an 2
and 31
angie 5
apartment 1
appearance 1
are 2
arguments 1
arising 1
arrived 1
arrives 1
as 4
asks 1
assistants 1
at 5
attending 1
availing 1
avoid 1
away 1
barracks 1
battle 1
be 1
beach 1
become 1
been 2
begun 1
being 3
belongs 1
berkeley 1
between 1
black 1
books 1
both 1
brainwashed 1
broken 1
brother 3
brutally 1
by 7
called 2
catholic 1
causing 1
ceremony 1
certain 1
challenges 1
characters 1
chased 1
city 1
clergyman 1
close 1
cold 1
coldbloodedness 1
come 2
command 1
commandant 3
communication 1
conditions 1
constantly 1
contacting 1
convince 1
couple 1
course 1
crashing 1
crew 6
crocodiles 1
cruelly 1
cruelty 1
danger 1
dangerous 1
day 1
days 1
decides 1
deep 1
despite 1
deteriorating 1
difficulties 1
disadvantaged 1
disappear 1
disastrous 1
discovers 1
due 1
duel 1
during 1
each 2
eagle 1
earlier 1
end 1
entrance 1
epilogue 1
equipped 1
escape 1
eventually 2
exhausts 1
existence 1
explorates 1
face 1
failure 1
families 1
fernando 3
finally 3
find 1
fishermen 1
flown 1
fly 2
following 1
fond 1
for 3
forced 1
forces 1
forest 3
former 3
found 1
friars 3
friend 1
from 4
full 1
furthermore 1
gain 1
geographic 1
getaway 1
gets 1
giant 1
graduated 1
graduation 1
grandmother 1
grandson 1
grudgingly 1
guide 1
had 2
has 7
have 1
having 1
he 3
heavily 1
helicopter 1
help 2
her 2
hers 1
him 4
himself 3
his 7
horrible 1
husbands 1
hut 1
if 1
imminent 1
imprisoned 1
in 17
inside 1
international 1
interview 1
into 4
introduces 1
is 6
isolating 1
its 1
jaguar 1
joined 1
journeys 1
jungle 2
just 1
kate 4
kenya 1
king 1
kosonge 1
kosongo 5
landing 1
later 1
leaders 1
leave 1
letter 1
look 1
magazine 1
magical 1
main 1
man 1
managed 1
manages 1
many 1
market 1
mask 1
masquerade 1
maurice 1
mbembel 6
means 1
meanwhile 1
medicine 1
met 1
missionary 1
moved 1
mysterious 2
nadia 9
nanaasanta 1
nanaasante 2
narrated 1
new 1
ngoub 2
nights 2
ninderera 2
not 1
notorious 1
now 1
obliges 1
of 21
off 1
on 3
once 2
one 1
ones 1
onto 1
opens 1
orders 1
other 2
others 1
out 1
outside 1
over 1
own 2
people 1
person 1
persuade 1
pick 1
pilot 1
plane 1
point 1
population 3
powerful 1
powers 1
presence 1
previous 1
previously 1
priest 1
promises 1
pygmies 2
queen 2
rapidity 1
rebelling 1
recently 1
reluctantly 1
reporter 1
reporters 1
resistance 1
rest 1
restore 1
rips 1
roman 1
rulers 1
safari 1
same 1
santos 1
school 1
search 1
seductive 1
seer 1
sent 1
separated 1
set 1
several 1
shape 2
share 1
she 2
shortly 1
shows 2
situated 1
situation 1
skills 1
small 1
smashing 1
soldiers 2
sombe 5
some 4
sons 1
soon 1
sorcerer 3
spend 2
spy 1
state 1
states 1
stay 2
stayed 1
stopover 1
story 1
study 1
subsequently 1
succeeds 1
suffer 1
supernatural 1
support 2
surrounded 1
take 1
taken 1
team 1
telling 1
tells 1
terms 1
terrifying 2
terrorizes 1
thanks 1
that 1
the 65
their 10
them 10
therefore 1
they 4
those 1
three 1
thrown 1
time 1
to 35
too 1
torment 1
trilogy 1
turn 2
two 5
tyrannical 1
tyranny 1
understanding 1
unfurnished 1
united 1
university 1
up 3
upon 1
usurped 1
very 1
village 11
villagers 4
visit 1
volumes 1
want 2
wants 1
watching 1
waterhole 1
well 1
when 1
where 2
whereabouts 1
which 2
white 1
who 11
whom 1
wisdom 1
with 4
wives 1
women 1
wood 1
works 1
world 1
worldrenowned 1
worsening 1
written 1
years 1
york 1
