16204072
/m/03wcwml
/m/03wcwml
Sue Grafton
1991-05-15
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 16
about 1
academy 1
accept 1
accost 1
actually 1
agrees 1
aid 1
almost 1
an 3
and 21
angeles 1
arrangement 1
arrest 1
arrival 1
arrives 1
as 4
associate 1
assumes 1
at 2
attempt 1
away 1
awry 1
back 1
be 2
been 1
befriend 1
begins 1
bibianna 14
both 2
boyfriend 1
bring 1
brother 1
business 1
but 3
by 4
california 1
can 1
cant 1
car 1
case 1
cement 1
cfi 3
chago 2
claim 2
clerk 1
coincidence 1
colleague 1
come 2
command 1
company 2
confess 1
confidante 1
cop 1
corruption 1
county 1
criminal 1
crooked 1
curiously 1
custody 1
dangerous 1
dare 1
dawna 1
days 2
death 1
deliberately 1
deluded 1
department 1
despite 1
determined 1
diaz 1
doctor 2
does 1
doesnt 1
dolan 2
down 1
drinking 1
duties 1
duty 1
effectively 1
efficiency 1
eighth 1
employee 1
enforced 1
enraged 1
ensues 1
escapes 1
establishes 1
eventually 1
evidence 1
eyes 1
false 1
father 1
fend 1
few 1
fidelity 1
figures 1
file 1
fires 1
first 1
for 9
force 1
former 2
fracas 1
fraud 5
freelance 1
friend 2
from 3
gang 2
get 1
girlfriend 1
given 1
goes 1
gordon 2
grounds 1
gut 1
hannah 1
has 4
have 2
he 1
head 3
headed 1
heavily 1
help 2
henchmen 1
her 16
herself 1
high 2
him 1
his 3
hospital 1
hot 1
house 1
huge 1
hunting 1
husband 1
identity 1
immediately 1
in 22
inadvertently 2
informal 1
information 1
initial 1
insurance 4
interrupted 1
into 2
investigate 1
investigation 2
involved 1
is 18
it 3
jealous 1
jeopodise 1
jimmy 3
job 1
just 1
justice 1
keeps 2
killed 2
killer 1
kills 1
kin 1
kinsey 20
lacking 1
lapd 1
leak 2
learns 1
left 1
lets 1
lieutenant 1
lipton 1
list 1
longstanding 1
los 1
luis 2
makes 1
marriage 1
married 1
matters 1
midst 1
millhone 1
montanaldo 1
mood 1
moore 1
much 1
murder 1
neck 1
need 2
nervous 1
new 2
next 1
nick 1
nicknamed 1
not 1
novel 1
occasional 1
of 18
off 1
offer 1
office 2
on 3
one 1
open 1
opens 1
or 1
order 2
out 4
overnight 1
own 1
parnell 3
passed 1
pending 1
perkins 1
plan 2
police 7
poor 1
position 1
possible 1
prevalent 1
problems 1
profit 1
protection 1
pursued 1
pursuit 1
raymond 12
realises 1
received 1
recent 1
recently 1
refusal 1
rejection 1
relationship 2
relieved 1
results 1
return 1
rightly 1
ring 2
run 1
santa 1
schoolmate 1
second 2
seems 4
sense 1
series 1
sets 1
shake 1
she 4
sheriff 1
shoots 2
shot 1
slip 1
snag 1
someone 1
somewhere 1
space 1
stalling 1
stay 1
sticking 1
stifling 1
success 1
survive 1
taken 1
tank 1
targets 1
tate 6
tells 1
tensions 1
teresa 1
terrified 1
that 3
the 29
their 1
there 1
they 4
things 2
thus 1
tightass 1
time 1
times 1
titus 3
to 24
too 1
troubleshooter 1
troubling 1
trust 1
turns 2
type 1
unconnected 1
under 1
undercover 2
unexpected 1
up 3
use 1
vera 1
visiting 1
wake 1
want 1
wedding 1
when 2
which 2
while 2
who 3
whom 1
whose 1
wired 1
with 5
withdraws 1
work 1
wrapping 1
