13866418
/m/03clnwl
/m/03clnwl
Ted Dekker
2005
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
2010 1
a 11
about 1
act 1
after 2
again 1
along 1
an 1
and 4
apocalyptic 1
are 2
as 2
asleep 2
at 1
attacked 1
back 1
bat 1
batlike 2
being 3
beings 2
black 3
blood 1
book 1
both 1
bullet 1
by 4
called 1
cant 1
change 1
civilization 1
colorado 1
colored 1
denver 2
differently 1
difficult 1
discovers 1
due 1
each 1
earth 1
easy 1
elyon 2
equally 1
event 1
eventually 1
every 1
evil 2
falls 2
fight 1
figure 1
find 2
finds 2
for 1
forced 1
forest 3
from 2
full 1
future 1
godlike 1
he 7
head 1
himself 2
his 1
hunter 1
immortalyet 1
in 7
inhabited 1
innocenthumans 1
is 9
it 1
knocked 1
later 1
led 1
loss 1
man 1
mutated 1
named 1
no 1
of 8
opposites 1
other 2
our 1
out 4
outside 1
over 1
own 1
paradise 1
portrayed 1
potent 1
presentday 1
proportions 1
prospect 1
putting 1
quickly 1
real 1
reality 1
rendered 1
roush 1
servants 1
shataiki 2
soon 1
startled 1
stop 1
strange 2
sudden 1
task 1
that 5
the 8
there 1
this 2
thomas 4
thousands 1
time 1
to 6
trees 1
twisted 1
unconscious 2
until 1
up 3
vaccine 1
virus 1
wakes 3
watched 1
which 1
while 1
white 2
who 3
wipe 1
with 1
world 4
worlds 1
would 1
wound 1
year 1
years 1
